weight_name,w_ret,w_prob,w_qual,w_tech,w_risk,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods
w0_base,0.45,0.35,0.1,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.1997449727205418,0.9872122762148338,1.82460132180087,391
w1_ret_up,0.5,0.3,0.1,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.19848120386394258,0.9872122762148338,1.8241483689942875,391
w2_prob_up,0.4,0.39999999999999997,0.1,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.20014583346322493,0.9846547314578005,1.8112942008557424,391
w3_qual_up,0.4,0.35,0.15000000000000002,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.200314513793029,0.9872122762148338,1.8222189985784256,391
w4_tech_up,0.45,0.3,0.1,0.15000000000000002,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.1988866159504384,0.9872122762148338,1.8228239288192498,391
w5_ret_high,0.55,0.24999999999999997,0.1,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.1969485498526284,0.9872122762148338,1.8190588088568735,391
w6_prob_high,0.35,0.44999999999999996,0.1,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.1998604632150231,0.9846547314578005,1.8084347853295542,391
w7_qual_high,0.4,0.3,0.2,0.1,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.19942896633324336,0.9872122762148338,1.8276891033332325,391
w8_tech_high,0.4,0.3,0.1,0.2,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.19942896633324336,0.9872122762148338,1.8276891033332325,391
w9_risk_low,0.45,0.35,0.1,0.1,0.8,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.199736495347217,0.9872122762148338,1.8253031991100017,391
w10_risk_high,0.45,0.35,0.1,0.1,1.2,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.1997914833096085,0.9872122762148338,1.8244816780836843,391
w11_balanced_plus,0.5,0.39999999999999997,0.05,0.05,1.0,v1,30,0.16541533301729222,0.2704395436997108,0.5031272836978151,31194,0.2001200156304028,0.9872122762148338,1.8285043672163277,391
