date,model_version,portfolio_return,cum_return
2024-02-01,v1,0.6489382217276372,0.6489382217276372
2024-02-02,v1,0.5993062748673375,1.6371572448775993
2024-02-05,v1,0.665399492009694,3.3919203359688384
2024-02-08,v1,0.6234400204469049,6.130019240026429
2024-02-15,v1,0.6112976806675108,10.488583464569313
2024-02-16,v1,0.5573880935373178,16.892183099329955
2024-02-19,v1,0.6565618292698223,28.63950756465663
2024-02-22,v1,0.48248466824146685,42.94011553883043
2024-02-23,v1,0.48425444783489047,64.21831192688805
2024-02-26,v1,0.5059937417428152,97.2183696089242
2024-02-29,v1,0.5719554868884228,153.39490501998353
