name,tx_cost_bps,avg_return,hit_rate,sharpe_like,num_periods,mdd,turnover_avg
equal_weight,10.0,0.1181434863861938,1.0,3.225811494091305,12,0.0,0.041666666666666796
random_top20_seed0,10.0,0.12556473339702132,1.0,1.7765778747620007,12,0.0,0.8750000000000004
random_top20_seed1,10.0,0.12384951785686953,1.0,1.4902068026199284,12,0.0,0.8625000000000004
random_top20_seed2,10.0,0.10645511958888361,0.9166666666666666,2.0215179359858526,12,-0.013517057456742356,0.8125000000000004
random_top20_seed3,10.0,0.10618077372644051,0.9166666666666666,1.124777666875197,12,0.0,0.8791666666666672
random_top20_seed4,10.0,0.13234892223352931,1.0,1.7328811584065487,12,0.0,0.8708333333333337
random_top20_seed5,10.0,0.13316847215905736,1.0,1.5782218427919013,12,0.0,0.8541666666666671
random_top20_seed6,10.0,0.10729395568701404,1.0,2.643278570586455,12,0.0,0.8583333333333337
random_top20_seed7,10.0,0.11173851727872834,0.9166666666666666,1.4578923323795434,12,-0.0020289201361588065,0.8750000000000004
random_top20_seed8,10.0,0.14609943839490677,1.0,2.40706774960046,12,0.0,0.8708333333333336
random_top20_seed9,10.0,0.10311046806514568,1.0,1.7454679073494752,12,0.0,0.8416666666666669
random_top20_seed10,10.0,0.12819334196847595,1.0,1.910553265889186,12,0.0,0.8500000000000004
random_top20_seed11,10.0,0.09974369432498344,0.9166666666666666,1.5822431524459792,12,-0.018354832825857852,0.8416666666666671
random_top20_seed12,10.0,0.10662955400541085,0.9166666666666666,1.2265740068102966,12,-0.06365496065154563,0.8750000000000004
random_top20_seed13,10.0,0.11882450471118135,0.9166666666666666,1.365584178130796,12,0.0,0.8583333333333337
random_top20_seed14,10.0,0.10985701028773537,0.9166666666666666,1.4889986374694864,12,0.0,0.8708333333333337
random_top20_seed15,10.0,0.12841968033928716,1.0,1.4024039021642942,12,0.0,0.8833333333333337
random_top20_seed16,10.0,0.1267529869932445,1.0,1.9103347973891516,12,0.0,0.8541666666666671
random_top20_seed17,10.0,0.08771502156611881,0.8333333333333334,1.3609719952788153,12,-0.01782855703320434,0.8875000000000005
random_top20_seed18,10.0,0.1274116318310494,1.0,1.7769132695229308,12,0.0,0.8458333333333337
random_top20_seed19,10.0,0.14308948727805212,1.0,1.6615511778922518,12,0.0,0.8708333333333337
