weight_name,tx_bps,slip_bps,avg_return,sharpe_like,hit_rate,turnover_avg,periods
w0_base,0,0,0.5628029804477256,50.91077659084831,1.0,0.06995967741935484,496
w0_base,10,0,0.5618029804477257,50.82031726785335,1.0,0.06995967741935484,496
w0_base,10,5,0.561768000609016,50.81655626395674,1.0,0.06995967741935484,496
w0_base,10,10,0.5617330207703062,50.8127947870762,1.0,0.06995967741935484,496
w0_base,20,0,0.5608029804477256,50.729857944858374,1.0,0.06995967741935484,496
w0_base,20,5,0.5607680006090159,50.726098003235464,1.0,0.06995967741935484,496
w0_base,20,10,0.5607330207703063,50.72233758960295,1.0,0.06995967741935484,496
w1_ret_up,0,0,0.564836383998835,50.8840495695422,1.0,0.07308467741935486,496
w1_ret_up,10,0,0.5638363839988351,50.79396321708505,1.0,0.07308467741935486,496
w1_ret_up,10,5,0.5637998416601253,50.79001948876714,1.0,0.07308467741935486,496
w1_ret_up,10,10,0.5637632993214157,50.78607532313742,1.0,0.07308467741935486,496
w1_ret_up,20,0,0.5628363839988351,50.70387686462791,1.0,0.07308467741935486,496
w1_ret_up,20,5,0.5627998416601254,50.69993429232721,1.0,0.07308467741935486,496
w1_ret_up,20,10,0.5627632993214157,50.69599128364023,1.0,0.07308467741935486,496
w2_prob_up,0,0,0.5603023644349463,50.779886289864514,1.0,0.07338709677419356,496
w2_prob_up,10,0,0.5593023644349463,50.68925685562845,1.0,0.07338709677419356,496
w2_prob_up,10,5,0.5592656708865593,50.68542352662338,1.0,0.07338709677419356,496
w2_prob_up,10,10,0.5592289773381722,50.68158967393983,1.0,0.07338709677419356,496
w2_prob_up,20,0,0.5583023644349464,50.59862742139241,1.0,0.07338709677419356,496
w2_prob_up,20,5,0.5582656708865593,50.59479500038776,1.0,0.07338709677419356,496
w2_prob_up,20,10,0.5582289773381721,50.59096205676023,1.0,0.07338709677419356,496
w3_qual_up,0,0,0.5616108652064817,50.90959171118723,1.0,0.07328629032258066,496
w3_qual_up,10,0,0.5606108652064817,50.81894248257504,1.0,0.07328629032258066,496
w3_qual_up,10,5,0.5605742220613203,50.81515441824502,1.0,0.07328629032258066,496
w3_qual_up,10,10,0.5605375789161591,50.81136585441686,1.0,0.07328629032258066,496
w3_qual_up,20,0,0.5596108652064816,50.72829325396285,1.0,0.07328629032258066,496
w3_qual_up,20,5,0.5595742220613205,50.72450602162168,1.0,0.07328629032258066,496
w3_qual_up,20,10,0.5595375789161591,50.720718290782216,1.0,0.07328629032258066,496
w4_tech_up,0,0,0.5640869280444964,50.85305713653428,1.0,0.0719758064516129,496
w4_tech_up,10,0,0.5630869280444964,50.76290603639653,1.0,0.0719758064516129,496
w4_tech_up,10,5,0.5630509401412707,50.75894967997102,1.0,0.0719758064516129,496
w4_tech_up,10,10,0.5630149522380449,50.75499288572681,1.0,0.0719758064516129,496
