weight_name,w_ret,w_prob,w_qual,w_tech,w_risk,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods
w0_base,0.45,0.35,0.1,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20319021002657292,0.9616368286445013,1.7067467526462563,391
w1_ret_up,0.5,0.3,0.1,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20699766600201833,0.969309462915601,1.7366091876626046,391
w2_prob_up,0.4,0.39999999999999997,0.1,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.1993015174476483,0.959079283887468,1.683521338686132,391
w3_qual_up,0.4,0.35,0.15000000000000002,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20145092117860652,0.9616368286445013,1.696545996930713,391
w4_tech_up,0.45,0.3,0.1,0.15000000000000002,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20603858240374337,0.9667519181585678,1.7368752849867952,391
w5_ret_high,0.55,0.24999999999999997,0.1,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20919956598723496,0.9718670076726342,1.7765602967611331,391
w6_prob_high,0.35,0.44999999999999996,0.1,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.19068706151096848,0.9514066496163683,1.6428381359592914,391
w7_qual_high,0.4,0.3,0.2,0.1,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20414025817978818,0.9616368286445013,1.7141385644685743,391
w8_tech_high,0.4,0.3,0.1,0.2,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20414025817978818,0.9616368286445013,1.7141385644685743,391
w9_risk_low,0.45,0.35,0.1,0.1,0.8,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.2033393191479617,0.9616368286445013,1.7062661942764772,391
w10_risk_high,0.45,0.35,0.1,0.1,1.2,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.2032585828560259,0.9616368286445013,1.7058568964598424,391
w11_balanced_plus,0.5,0.39999999999999997,0.05,0.05,1.0,v1,30,0.1442661489907868,0.24498196448522716,0.5004262868975817,73624,0.20275514795167823,0.9616368286445013,1.7057271370432137,391
