weight,tx_bps,slip_bps,avg_return,hit_rate,sharpe_like,mdd,turnover_avg,num_periods
w2_prob_up,0,0,0.5281438485675206,1.0,8.183032336408287,0.0,0.1088235294117647,34
w2_prob_up,0,5,0.5280894368028147,1.0,8.180418192788824,0.0,0.1088235294117647,34
w2_prob_up,0,10,0.5280350250381087,1.0,8.177802482409122,0.0,0.1088235294117647,34
w2_prob_up,10,0,0.5271438485675204,1.0,8.167538390282425,0.0,0.1088235294117647,34
w2_prob_up,10,5,0.5270894368028146,1.0,8.164927600433263,0.0,0.1088235294117647,34
w2_prob_up,10,10,0.5270350250381088,1.0,8.162315247482201,0.0,0.1088235294117647,34
w2_prob_up,20,0,0.5261438485675205,1.0,8.15204444415657,0.0,0.1088235294117647,34
w2_prob_up,20,5,0.5260894368028146,1.0,8.149437008077705,0.0,0.1088235294117647,34
w2_prob_up,20,10,0.5260350250381087,1.0,8.146828012555275,0.0,0.1088235294117647,34
w3_qual_up,0,0,0.5284905201732937,1.0,8.259129580774323,0.0,0.10882352941176471,34
w3_qual_up,0,5,0.5284361084085878,1.0,8.256431137680698,0.0,0.10882352941176471,34
w3_qual_up,0,10,0.528381696643882,1.0,8.253731075288444,0.0,0.10882352941176471,34
w3_qual_up,10,0,0.5274905201732937,1.0,8.243501808344146,0.0,0.10882352941176471,34
w3_qual_up,10,5,0.5274361084085878,1.0,8.240806862567203,0.0,0.10882352941176471,34
w3_qual_up,10,10,0.527381696643882,1.0,8.238110301276564,0.0,0.10882352941176471,34
w3_qual_up,20,0,0.5264905201732937,1.0,8.227874035913967,0.0,0.10882352941176471,34
w3_qual_up,20,5,0.5264361084085878,1.0,8.225182587453707,0.0,0.10882352941176471,34
w3_qual_up,20,10,0.5263816966438819,1.0,8.22248952726468,0.0,0.10882352941176471,34
w5_ret_high,0,0,0.525256246364093,1.0,7.746380558528098,0.0,0.09411764705882353,34
w5_ret_high,0,5,0.5252091875405636,1.0,7.744597918620718,0.0,0.09411764705882353,34
w5_ret_high,0,10,0.5251621287170343,1.0,7.742812759943767,0.0,0.09411764705882353,34
w5_ret_high,10,0,0.5242562463640931,1.0,7.731632746175273,0.0,0.09411764705882353,34
w5_ret_high,10,5,0.5242091875405636,1.0,7.729852179013825,0.0,0.09411764705882353,34
w5_ret_high,10,10,0.5241621287170343,1.0,7.7280690982504545,0.0,0.09411764705882353,34
w5_ret_high,20,0,0.523256246364093,1.0,7.716884933822444,0.0,0.09411764705882353,34
w5_ret_high,20,5,0.5232091875405637,1.0,7.715106439406934,0.0,0.09411764705882353,34
w5_ret_high,20,10,0.5231621287170342,1.0,7.713325436557141,0.0,0.09411764705882353,34
w6_prob_high,0,0,0.5276861669057444,1.0,8.211875509535185,0.0,0.10441176470588234,34
w6_prob_high,0,5,0.5276339610233913,1.0,8.209503645913582,0.0,0.10441176470588234,34
w6_prob_high,0,10,0.5275817551410384,1.0,8.207129641178842,0.0,0.10441176470588234,34
w6_prob_high,10,0,0.5266861669057443,1.0,8.196313465228263,0.0,0.10441176470588234,34
w6_prob_high,10,5,0.5266339610233914,1.0,8.193944557127883,0.0,0.10441176470588234,34
w6_prob_high,10,10,0.5265817551410386,1.0,8.19157351255763,0.0,0.10441176470588234,34
w6_prob_high,20,0,0.5256861669057443,1.0,8.180751420921345,0.0,0.10441176470588234,34
w6_prob_high,20,5,0.5256339610233914,1.0,8.178385468342183,0.0,0.10441176470588234,34
w6_prob_high,20,10,0.5255817551410386,1.0,8.176017383936419,0.0,0.10441176470588234,34
w0_base,0,0,0.524815587072965,1.0,7.794648145081484,0.0,0.11029411764705882,34
w0_base,0,5,0.5247604400141415,1.0,7.792072011992138,0.0,0.11029411764705882,34
w0_base,0,10,0.5247052929553179,1.0,7.789494589079106,0.0,0.11029411764705882,34
w0_base,10,0,0.5238155870729648,1.0,7.779795979221556,0.0,0.11029411764705882,34
w0_base,10,5,0.5237604400141415,1.0,7.777223194478793,0.0,0.11029411764705882,34
w0_base,10,10,0.523705292955318,1.0,7.77464912307436,0.0,0.11029411764705882,34
w0_base,20,0,0.5228155870729649,1.0,7.764943813361633,0.0,0.11029411764705882,34
w0_base,20,5,0.5227604400141415,1.0,7.762374376965449,0.0,0.11029411764705882,34
w0_base,20,10,0.5227052929553179,1.0,7.759803657069611,0.0,0.11029411764705882,34
