weight_name,w_ret,w_prob,w_qual,w_tech,w_risk,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods
w0_base,0.45,0.35,0.1,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524815587072965,1.0,7.794648145081486,34
w1_ret_up,0.5,0.3,0.1,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.5235061177799476,1.0,7.397381724180449,34
w2_prob_up,0.4,0.39999999999999997,0.1,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.5281438485675206,1.0,8.183032336408289,34
w3_qual_up,0.4,0.35,0.15000000000000002,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.5284905201732937,1.0,8.259129580774324,34
w4_tech_up,0.45,0.3,0.1,0.15000000000000002,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.5259041433976853,1.0,7.54437458196007,34
w5_ret_high,0.55,0.24999999999999997,0.1,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.525256246364093,1.0,7.746380558528098,34
w6_prob_high,0.35,0.44999999999999996,0.1,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.5276861669057444,1.0,8.211875509535185,34
w7_qual_high,0.4,0.3,0.2,0.1,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524399315284462,1.0,7.775125070517894,34
w8_tech_high,0.4,0.3,0.1,0.2,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524399315284462,1.0,7.775125070517894,34
w9_risk_low,0.45,0.35,0.1,0.1,0.8,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524815587072965,1.0,7.794648145081486,34
w10_risk_high,0.45,0.35,0.1,0.1,1.2,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524815587072965,1.0,7.794648145081486,34
w11_balanced_plus,0.5,0.39999999999999997,0.05,0.05,1.0,v1,60,0.12290266851890444,0.2121959181291065,0.7458026154716341,6269,0.524815587072965,1.0,7.794648145081486,34
