date,code,pred_return_60d,pred_return_90d,pred_mdd_60d,pred_mdd_90d,prob_top20_60d,prob_top20_90d,score,score_score,composite,close,quality_score,name,market,sector,tech_score,pred_score,ret_score,prob_score,qual_score,final_score,risk_penalty,market_up,market_status_date,market_kospi_close,market_kospi_ma20,market_vol_5d,market_foreign_5d,generated_at
2025-11-27,009540,0.5533362532462951,0.3431797900260118,-0.2474379403398425,-0.3350350982803703,0.9779092482258384,0.262965392114538,55.33362532462951,39.68,-0.4171010563649648,432500.0,0.0437717950987402,HD한국조선해양,KOSPI,조선,55.33362532462951,98.94179894179894,98.94179894179894,97.79092482258383,50.0,68.48656445159025,9.743794033984251,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,329180,0.5312636416807128,0.2561769113852026,-0.2677346771937181,-0.3430396802317443,0.8994708739392007,0.1794328925358553,53.12636416807128,43.92,-0.2078470700189739,566000.0,-0.0174919561949169,HD현대중공업,KOSPI,조선,53.12636416807128,98.4126984126984,98.4126984126984,89.94708739392007,31.818181818181817,60.94775017606638,11.773467719371808,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,035900,0.1909837550616584,0.268314250106209,-0.1434512845671963,-0.3186245033500685,0.5924476595671325,0.0066700716571549,19.098375506165844,4.76,-5.434729924573533,64500.0,0.3984398520089697,JYP Ent.,KOSDAQ,방송과엔터테인먼트,19.098375506165844,84.65608465608466,84.65608465608466,59.24476595671325,100.0,60.937529537853464,0.0,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,267260,0.6351144928105146,0.4788439840134428,-0.3499425208753265,-0.4340146872190603,0.9448307349820284,0.412111644535627,63.511449281051455,29.1,-1.3928815970459731,817000.0,-0.0426818040064149,HD현대일렉트릭,KOSPI,전기장비,63.511449281051455,99.47089947089947,99.47089947089947,94.48307349820284,27.27272727272727,56.612130003512426,19.99425208753265,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,443060,0.3086512344188516,0.3328477747422054,-0.3072892803408529,-0.357425246442524,0.8374302988592083,0.6243797547151069,30.865123441885167,4.23,-5.467295793200187,195200.0,0.1057119655102601,HD현대마린솔루션,KOSPI,조선,30.865123441885167,95.23809523809523,95.23809523809523,83.74302988592083,77.27272727272727,54.62870413229812,15.72892803408529,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,002380,0.3921220287042766,0.3665296014466885,-0.230160712163019,-0.3395970314081096,0.7449737456746307,0.486309101277147,39.21220287042766,33.86,-0.734659790414139,414500.0,,KCC,KOSPI,,39.21220287042766,96.82539682539682,96.82539682539682,74.49737456746307,0.0,51.4195523343112,8.016071216301901,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,267250,0.472174111728131,0.6044554593841367,-0.3382703935734364,-0.4004379341019258,0.9413593053778732,0.1717455148831021,47.21741117281311,29.63,-1.3803192299717817,204000.0,-0.0667709730034682,HD현대,KOSPI,석유와가스,47.21741117281311,97.88359788359789,97.88359788359789,94.13593053778732,18.181818181818183,50.96451872129923,18.82703935734364,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,060370,0.2416049496524648,0.333782766063925,-0.2693958630049224,-0.3573977904959334,0.4005358483675542,0.1388733636981253,24.16049496524648,37.57,-0.5297827466722944,26800.0,0.1499872622981233,LS마린솔루션,KOSDAQ,건설,24.16049496524648,91.005291005291,91.005291005291,40.05358483675542,86.36363636363636,45.57809115440331,11.939586300492241,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,005830,0.2609563336325018,0.1965612860605445,-0.2023358588973716,-0.2769181877584499,0.5055629617639665,0.1953543580483591,26.09563336325018,36.51,-0.6109648306132927,127500.0,-0.3962458734953584,DB손해보험,KOSPI,손해보험,26.09563336325018,94.17989417989418,94.17989417989418,50.55629617639666,13.636363636363635,45.533600962759856,5.233585889737161,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,007700,0.4116225522314904,0.2717481105213979,-0.2668597679079055,-0.2676795838296151,0.5978083306030805,0.1761673589943426,41.162255223149046,94.18,4.208810518890587,20400.0,,F&F홀딩스,KOSPI,,41.162255223149046,97.35449735449735,97.35449735449735,59.78083306030805,0.0,44.814257247580386,11.68597679079055,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
2025-11-27,010620,0.241192549248018,0.2527724546876295,-0.2590850498825615,-0.2968406266963618,0.457045292092819,0.7937075073718914,24.1192549248018,35.45,-0.671426315884933,223000.0,0.0543698281239041,HD현대미포,KOSPI,조선,24.1192549248018,89.94708994708994,89.94708994708994,45.7045292092819,54.54545454545454,42.919348957450026,10.908504988256148,False,2025-11-26,3960.87,4026.5025,0.0250509863927872,-2360912998862.0,2025-11-27 00:21:10
