date,code,pred_return_60d,pred_return_90d,pred_mdd_60d,pred_mdd_90d,prob_top20_60d,prob_top20_90d,score,score_score,composite,close,quality_score,vol_20,vol_60,vol_ma_20,volume,name,market,sector,tech_score,pred_score_60,pred_score_90,pred_score,ret_score,prob_score,qual_score,vol_20_pct,vol_60_pct,safety_score,liquidity_score,final_score,risk_penalty,market_up,market_status_date,market_kospi_close,market_kospi_ma20,market_vol_5d,market_foreign_5d,generated_at,model_version
2025-12-04,035760,0.3399230124301347,0.347625901589647,-0.1075081090284789,-0.1480350799958885,0.4048313383360311,0.130284205009838,33.992301243013465,,,63200.0,0.0245128468390525,0.0196608428575738,0.0181912523772145,35443.9,7526.0,CJ ENM,KOSDAQ,방송과엔터테인먼트,0.0,93.53233830845771,90.04975124378109,92.13930348258705,92.13930348258705,40.483133833603105,51.63043478260869,10.552763819095476,8.542713567839195,90.45226130653266,1.507537688442211,56.56883406183977,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,086900,0.3244320257267488,0.2711125471486741,-0.1414965343085854,-0.1910316897611812,0.361714641153517,0.0704120820216361,32.44320257267488,,,126800.0,0.0278802508548064,0.021556368207278,0.0168064692388309,33137.6,2903.0,메디톡스,KOSDAQ,생물공학,0.0,92.53731343283582,87.06467661691542,90.34825870646766,90.34825870646766,36.1714641153517,54.347826086956516,15.577889447236181,5.025125628140704,89.69849246231156,1.0050251256281406,55.08715137510202,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,035900,0.1441993882275583,0.1581215812475345,-0.1207792448198487,-0.1854483462975243,0.1628219638435836,0.137216840273025,14.419938822755828,,,68100.0,0.3984398520089697,0.0200408598714146,0.0218299945955565,321289.35,20969.0,JYP Ent.,KOSDAQ,방송과엔터테인먼트,0.0,77.61194029850746,70.64676616915423,74.82587064676616,74.82587064676616,16.28219638435836,99.45652173913044,12.060301507537687,19.597989949748744,84.17085427135677,47.73869346733669,51.47652527810284,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,028050,0.1831669849078907,0.176263835208708,-0.1214064760351011,-0.1574706118466111,0.0963855018819292,0.0700182723102665,18.316698490789072,,,25700.0,0.1117900035166829,0.015383592400714,0.0193472729002935,513012.95,74135.0,삼성E&A,KOSPI,건설,0.0,82.58706467661692,75.62189054726367,79.80099502487562,79.80099502487562,9.63855018819292,80.43478260869566,4.0201005025125625,11.557788944723619,92.2110552763819,60.80402010050251,51.265273611862895,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,010140,0.3161601787471468,0.4312018428729001,-0.1714111774219827,-0.2017990886376427,0.2925833701125039,0.2770141264779164,31.61601787471469,,,24600.0,-0.1819950780603734,0.0208434687260103,0.0318975262656272,3613668.05,337315.0,삼성중공업,KOSPI,조선,0.0,91.54228855721394,93.53233830845771,92.33830845771145,92.33830845771145,29.25833701125039,17.934782608695652,14.07035175879397,47.23618090452261,69.3467336683417,94.9748743718593,49.81919107764155,2.1411177421982703,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,082270,1.152863656406771,0.680656044512223,-0.1721047000137741,-0.2397308975794309,0.6568298539701029,0.2915605033969298,115.28636564067708,,,31400.0,-0.3772712838542792,0.0903710702923115,0.0680335965578832,566335.3,66149.0,젬백스,KOSDAQ,반도체와반도체장비,0.0,100.0,98.50746268656717,99.40298507462687,99.40298507462687,65.68298539701028,14.130434782608695,97.98994974874373,94.9748743718593,3.517587939698487,64.321608040201,49.187933941488915,2.2104700013774097,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,086790,0.1816978216774161,0.3968058639683349,-0.1137635558440126,-0.1744289213087435,0.2329491105656473,0.0604727830584949,18.16978216774161,,,95700.0,-1.6380988515373192,0.0212305228301137,0.0194834769113712,843648.6,61726.0,하나금융지주,KOSPI,은행,0.0,82.08955223880598,93.03482587064677,86.46766169154229,86.46766169154229,23.29491105656473,3.260869565217391,15.07537688442211,12.562814070351758,86.18090452261306,74.87437185929649,48.76096749948239,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,078930,0.2241285440572071,0.3910797919450448,-0.1671780265002539,-0.3115075961510309,0.3630723836963341,0.4978194584140435,22.412854405720715,,,58600.0,-0.0509700969676904,0.0357417784350297,0.0254454969127891,338556.7,18873.0,GS,KOSPI,석유와가스,0.0,85.57213930348259,92.53731343283582,88.35820895522387,88.35820895522387,36.30723836963341,29.891304347826086,56.28140703517588,27.63819095477387,58.040201005025125,50.25125628140703,48.074193028556856,1.7178026500253907,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,033780,0.0747717924928172,0.2002635868492108,-0.0978523962907731,-0.127699139523326,0.0834936751239132,0.0450509242134257,7.477179249281729,,,142600.0,0.1789364808835966,0.018789574329,0.0160565150260069,304978.65,23640.0,KT&G,KOSPI,담배,0.0,54.22885572139303,77.11442786069652,63.38308457711443,63.38308457711443,8.34936751239132,91.84782608695652,8.040201005025125,4.0201005025125625,93.96984924623115,44.72361809045226,46.61870815138509,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
2025-12-04,055550,0.1403236024149545,0.1745041503528963,-0.1160274522472378,-0.1590165120332186,0.0676687930866468,0.0342852653923893,14.032360241495455,,,79400.0,0.0,0.0178906654813019,0.0172424521962377,1229674.8,170478.0,신한지주,KOSPI,은행,0.0,76.11940298507463,74.6268656716418,75.5223880597015,75.5223880597015,6.766879308664681,38.58695652173913,6.532663316582915,5.527638190954774,93.96984924623115,85.92964824120602,46.59909169624551,0.0,False,2025-12-04,4028.51,3992.7395,0.0130484999984284,-1013054030517.0,2025-12-04 08:15:14,
