date,model_version,portfolio_return,turnover,num_holdings,cum_return
2023-04-25,v1,0.5552371405717272,0.05,20,159964289679.0785
2023-04-26,v1,0.5837123311216467,0.1,20,253337418104.4555
2023-04-27,v1,0.47163064876202654,0.05,20,372819108961.2283
2023-04-28,v1,0.4624258819764003,0.05,20,545220314240.7423
2023-05-02,v1,0.533422965292096,0.05,20,836053351001.0608
2023-05-03,v1,0.5884946519936854,0.05,20,1328066276847.173
2023-05-04,v1,0.515976298638636,0.1,20,2013316998722.0876
2023-05-09,v1,0.48642932386771065,0.1,20,2992653425142.3276
2023-05-10,v1,0.5118395346600457,0.1,20,4524411761666.48
2023-05-11,v1,0.5473026469397351,0.05,20,7000634294672.362
2023-05-12,v1,0.5421973984213835,0.05,20,10796359996543.775
2023-05-16,v1,0.5654870748018423,0.05,20,16901562029497.51
2023-05-18,v1,0.4916173300770197,0.1,20,25210662828570.703
2023-05-19,v1,0.5275151925001059,0.1,20,38509670483639.97
2023-05-23,v1,0.46578539469844965,0.05,20,56446912549569.914
2023-05-24,v1,0.45996408659946075,0.05,20,82410465121792.94
2023-05-25,v1,0.4396953564685659,0.05,20,118645963960260.44
2023-05-26,v1,0.48152738796549804,0.05,20,175777245078693.75
2023-05-30,v1,0.4459032189080271,0.05,20,254156884470068.9
2023-05-31,v1,0.43981294898011647,0.05,20,365938373332449.1
2023-06-01,v1,0.433301241101302,0.05,20,524499924663991.4
2023-06-02,v1,0.44514078005097363,0.1,20,757976230265597.9
2023-06-07,v1,0.44903333434460285,0.05,20,1098332824295712.2
2023-06-08,v1,0.4938713026014804,0.05,20,1640767886920599.0
2023-06-09,v1,0.47751248447369676,0.0,20,2424255037048712.0
2023-06-13,v1,0.5534819677291799,0.05,20,3766036485231810.0
2023-06-14,v1,0.5480595253741474,0.1,20,5830048653869679.0
2023-06-15,v1,0.5259532514799474,0.1,20,8896381699658728.0
2023-06-16,v1,0.5218375113491189,0.05,20,1.3538847385820484e+16
2023-06-20,v1,0.45000720941732936,0.05,20,1.9631426316640664e+16
2023-06-21,v1,0.4790105937946418,0.05,20,2.9035087493610468e+16
2023-06-22,v1,0.44719356452476566,0.05,20,4.201939176616658e+16
2023-06-23,v1,0.38814242562078566,0.05,20,5.832890040939654e+16
2023-06-27,v1,0.3216357999112228,0.1,20,7.708956295051485e+16
2023-06-28,v1,0.29750759891577444,0.05,20,1.0002429372538898e+17
2023-06-29,v1,0.3472466918734328,0.05,20,1.3475739882850688e+17
2023-07-06,v1,0.2618911144084515,0.2,20,1.700491641824887e+17
2023-07-07,v1,0.2753395710442067,0.05,20,2.1687042810492106e+17
2023-07-12,v1,0.2691550956368679,0.1,20,2.7524220892230954e+17
2023-07-13,v1,0.26530785796894085,0.05,20,3.4826612979412717e+17
2023-07-14,v1,0.28044172157459035,0.0,20,4.4593448279971194e+17
2023-07-18,v1,0.24079072615076477,0.0,20,5.5331137072872026e+17
2023-07-19,v1,0.20263031220781844,0.1,20,6.654290265276168e+17
2023-07-20,v1,0.14906918011960313,0.1,20,7.646239859398743e+17
2023-07-21,v1,0.09250783642440948,0.15000000000000002,20,8.353576965573801e+17
2023-07-25,v1,0.07962615778967269,0.1,20,9.018740203142755e+17
2023-07-26,v1,0.16337355885376437,0.2,20,1.0492163886507708e+18
2023-07-27,v1,0.13103538213763294,0.15000000000000002,20,1.1867008590826916e+18
2023-07-28,v1,0.09802828075028837,0.1,20,1.303031104063458e+18
2023-08-01,v1,0.06262429294830407,0.1,20,1.38463250564508e+18
2023-08-02,v1,0.06660794363079403,0.1,20,1.4768600295304527e+18
2023-08-03,v1,0.04403537623647182,0.15000000000000002,20,1.541894116579433e+18
2023-08-04,v1,0.06950235688670284,0.15000000000000002,20,1.649059391751444e+18
2023-08-08,v1,0.13565751728515504,0.05,20,1.8727666946922127e+18
2023-08-09,v1,0.1157288592473108,0.1,20,2.0894998479052995e+18
2023-08-10,v1,0.149173588911719,0.05,20,2.401198039247824e+18
2023-08-11,v1,0.15050599279408808,0.05,20,2.7625927340400353e+18
2023-08-16,v1,0.18873088065420074,0.1,20,3.283979293624307e+18
2023-08-17,v1,0.25164644150659127,0.1,20,4.1103809968461937e+18
2023-08-18,v1,0.2452064929335689,0.05,20,5.118273105703636e+18
2023-08-22,v1,0.22655632213750523,0.1,20,6.277850236227159e+18
2023-08-23,v1,0.26031875929296133,0.05,20,7.912092420748837e+18
2023-08-24,v1,0.226325430251271,0.1,20,9.702800142062637e+18
2023-08-25,v1,0.2478123799255772,0.05,20,1.2107274137209407e+19
2023-08-29,v1,0.2233432726329579,0.1,20,1.4811352365678127e+19
2023-08-30,v1,0.2291420986984082,0.1,20,1.8205256731311247e+19
