date,model_version,portfolio_return,turnover,num_holdings,cum_return
2023-01-02,v1,0.5106086373900998,0.5,20,0.5106086373900998
2023-01-05,v1,0.4985593728381702,0.15000000000000002,20,1.263736732251231
2023-01-06,v1,0.46967371465072194,0.05,20,2.326954372278953
2023-01-09,v1,0.3948455338090414,0.0,20,3.640587447359761
2023-01-12,v1,0.40446726487991647,0.15000000000000002,20,5.517553159629437
2023-01-13,v1,0.3471453168123702,0.0,20,7.780091216070462
2023-01-16,v1,0.46226284416550756,0.1,20,11.838801153643784
2023-01-19,v1,0.385899410286041,0.30000000000000004,20,16.79328694761466
2023-01-20,v1,0.3704684565221424,0.15000000000000002,20,23.385138499553044
2023-01-26,v1,0.3679688096805828,0.2,20,32.35810888712973
2023-01-27,v1,0.37968647844829967,0.05,20,45.02373177817895
2023-01-30,v1,0.40778050495470264,0.05,20,63.79131236258456
2023-02-02,v1,0.41691952550684663,0.1,20,90.80407556975919
2023-02-03,v1,0.41256548422642075,0.05,20,128.67926846115583
2023-02-06,v1,0.45833439983793955,0.05,20,188.1157381427227
2023-02-09,v1,0.4327735500905427,0.1,20,269.9600275167423
2023-02-10,v1,0.5283809660854497,0.0,20,413.1301486265786
2023-02-13,v1,0.49332567849520387,0.05,20,617.4311851831051
2023-02-16,v1,0.45479409702598284,0.1,20,898.6900376211638
2023-02-17,v1,0.5105529184391637,0.0,20,1358.02941201929
2023-02-20,v1,0.45794661314987567,0.1,20,1980.392328424591
2023-02-23,v1,0.4137504989053724,0.1,20,2800.194392837543
2023-02-24,v1,0.40397036001524783,0.05,20,3931.793900184819
2023-02-27,v1,0.39864102961277403,0.1,20,5499.566909809332
2023-03-03,v1,0.4091166788978627,0.15000000000000002,20,7749.940576006005
2023-03-09,v1,0.39506760738365204,0.1,20,10812.086124341564
2023-03-10,v1,0.39579748255554115,0.1,20,15091.87839101221
2023-03-13,v1,0.36236415864813665,0.05,20,20560.996570749994
2023-03-16,v1,0.29170610153759496,0.15000000000000002,20,26559.05643023287
2023-03-17,v1,0.29259007869293974,0.1,20,34330.26543124363
2023-03-20,v1,0.37330622610574776,0.05,20,47146.3405668159
2023-03-23,v1,0.36440678564783147,0.05,20,64327.1513946129
2023-03-24,v1,0.3538303428158568,0.05,20,87088.40325527912
2023-03-27,v1,0.3770632294919275,0.0,20,119926.61490123943
2023-03-31,v1,0.34536629351067816,0.1,20,161345.57074925647
2023-04-03,v1,0.38100359932723055,0.15000000000000002,20,222819.19494382883
2023-04-06,v1,0.34287026236976026,0.05,20,299217.6136455005
2023-04-10,v1,0.35606332966150145,0.05,20,405758.3895168158
2023-04-13,v1,0.3416456290999189,0.05,20,544384.3114114874
2023-04-14,v1,0.33972842989104,0.05,20,729327.478513057
2023-04-17,v1,0.4301469072868149,0.05,20,1043045.8679416467
2023-04-20,v1,0.4895191014923575,0.1,20,1553637.2335508591
2023-04-21,v1,0.5479923824156022,0.05,20,2405019.1505663623
2023-04-24,v1,0.5436005995302,0.05,20,3712389.546296449
2023-04-27,v1,0.593800828587602,0.1,20,5916810.128728061
2023-04-28,v1,0.5700303630116783,0.1,20,9289572.124308456
2023-05-04,v1,0.6473803188561306,0.15000000000000002,20,15303458.935560605
2023-05-08,v1,0.6237744432975003,0.05,20,24849366.13739052
2023-05-11,v1,0.54110421649921,0.05,20,38295463.47276943
2023-05-12,v1,0.6135054193982578,0.1,20,61789938.465186924
2023-05-15,v1,0.7627013344037356,0.1,20,108917207.74801104
2023-05-18,v1,0.6879047848570553,0.2,20,183841876.79904255
2023-05-19,v1,0.7266289357637136,0.05,20,317426704.8129635
2023-05-22,v1,0.7592146692129667,0.05,20,558421716.2661142
2023-05-25,v1,0.7383765783808546,0.1,20,970747233.1546286
2023-05-26,v1,0.7355787407129315,0.1,20,1684808261.2046516
2023-06-01,v1,0.7818323787295969,0.1,20,3002045912.547393
2023-06-02,v1,0.8262942521259047,0.05,20,5482619195.529664
2023-06-05,v1,0.8089307362506446,0.1,20,9917678378.760323
2023-06-08,v1,0.7310775321659206,0.05,20,17168270213.450806
2023-06-09,v1,0.6979466568876964,0.0,20,29150807014.17136
2023-06-12,v1,0.8531589005476026,0.15000000000000002,20,54021077477.310295
2023-06-15,v1,0.8165126618593759,0.05,20,98129971245.63701
2023-06-19,v1,0.8554336055893248,0.05,20,182073646365.52448
2023-06-22,v1,0.7106609933663506,0.1,20,311466284758.1924
2023-06-23,v1,0.8120589940262549,0.05,20,564395282632.8373
2023-06-26,v1,0.7485482088045727,0.05,20,986872360506.1467
2023-06-29,v1,0.7085530577893621,0.1,20,1686123789191.291
2023-06-30,v1,0.7234774841724252,0.05,20,2905996386199.4062
2023-07-03,v1,0.6442382746535198,0.1,20,4778150484194.52
2023-07-06,v1,0.6784326206058817,0.2,20,8019803638836.549
2023-07-07,v1,0.6967833566369526,0.2,20,13607869337875.023
2023-07-10,v1,0.7448352827859844,0.0,20,23743490544266.64
2023-07-13,v1,0.6122097916129572,0.15000000000000002,20,38279487942536.95
2023-07-14,v1,0.5603951707691246,0.15000000000000002,20,59731128125050.16
2023-07-17,v1,0.531273548539219,0.1,20,91464696522296.83
2023-07-20,v1,0.3843514173302469,0.15000000000000002,20,126619282266322.9
2023-07-21,v1,0.35276716138006636,0.15000000000000002,20,171286407047395.34
2023-07-24,v1,0.3017712246961796,0.1,20,222975715875896.47
2023-07-27,v1,0.32837398291258296,0.15000000000000002,20,296195139790849.4
2023-07-28,v1,0.251881045114387,0.05,20,370801081159170.7
2023-08-07,v1,0.17341617819929284,0.35000000000000003,20,435103987525960.06
2023-08-11,v1,0.06010417481409671,0.30000000000000004,20,461255553654531.0
2023-08-14,v1,0.09462919684501768,0.1,20,504903796237163.3
2023-08-17,v1,0.09102805918400388,0.2,20,550864208883268.1
2023-08-18,v1,0.10858100622960525,0.15000000000000002,20,610677598979689.0
2023-08-21,v1,0.05736690271778372,0.1,20,645710281392286.6
2023-08-24,v1,0.030079375076124515,0.1,20,665132843136795.1
2023-08-25,v1,0.0839891570836396,0.1,20,720996789980499.2
2023-08-28,v1,0.05771781040717967,0.15000000000000002,20,762611146008778.9
2023-08-31,v1,0.04164736614660036,0.2,20,794371891634085.0
2023-09-01,v1,0.011178086976345319,0.1,20,803251449730334.8
2023-09-04,v1,0.07383013127365948,0.1,20,862555609709682.8
2023-09-07,v1,0.12375515629271024,0.15000000000000002,20,969301314000458.6
2023-09-08,v1,0.10295459616691058,0.15000000000000002,20,1069095339347431.6
2023-09-11,v1,0.1162771194592219,0.1,20,1193406665834030.2
2023-09-14,v1,0.0626755149644758,0.2,20,1268204043177216.2
2023-09-15,v1,0.06784706099249391,0.1,20,1354247960245588.2
2023-09-18,v1,0.10465564219588945,0.0,20,1495977650217563.8
2023-09-21,v1,0.15049517142528704,0.1,20,1721115063135454.2
2023-09-22,v1,0.1764464332270305,0.1,20,2024799677199020.8
