date,portfolio_return,turnover,cum_return
2024-01-04,0.023566034439034683,0.5000000000000001,0.025566034439034713
2024-01-05,0.032164736304916355,0.9000000000000005,0.06060422756892314
2024-01-08,0.07098267783250993,1.0000000000000004,0.13800996421738398
2024-01-11,0.11487358950292244,0.7500000000000003,0.27101327362556193
2024-01-12,0.14611317315187086,0.9000000000000005,0.45926708270039085
2024-01-15,0.04482684225000524,0.9000000000000005,0.5275999521826276
2024-01-18,0.13606356930886757,0.8000000000000004,0.7385058540570166
2024-01-19,0.12534984203732497,1.0000000000000004,0.9599042999521423
2024-01-22,0.23341359337148848,0.9000000000000005,1.4212924138681076
2024-01-25,0.1722396016052564,0.9500000000000005,1.843177439430316
2024-01-26,0.17017437215901654,0.9500000000000005,2.332699730000911
2024-01-29,0.22500876880104217,0.9500000000000005,3.089251792491984
