name,tx_cost_bps,avg_return,hit_rate,sharpe_like,num_periods,mdd,turnover_avg
equal_weight,20.0,0.11714348638619382,1.0,3.1985073100625168,12,0.0,0.041666666666666796
random_top20_seed0,20.0,0.1245647333970213,1.0,1.7624291737159459,12,0.0,0.8750000000000004
random_top20_seed1,20.0,0.12284951785686953,1.0,1.4781744037183668,12,0.0,0.8625000000000004
random_top20_seed2,20.0,0.1054551195888836,0.9166666666666666,2.002528544552235,12,-0.013517057456742356,0.8125000000000004
random_top20_seed3,20.0,0.10518077372644048,0.9166666666666666,1.1141846223210758,12,0.0,0.8791666666666672
random_top20_seed4,20.0,0.1313489222335293,1.0,1.7197878809611238,12,0.0,0.8708333333333337
random_top20_seed5,20.0,0.13216847215905733,1.0,1.5663705253050795,12,0.0,0.8541666666666671
random_top20_seed6,20.0,0.10629395568701404,1.0,2.618642713387778,12,0.0,0.8583333333333337
random_top20_seed7,20.0,0.11073851727872835,0.9166666666666666,1.4448449753187471,12,-0.0020289201361588065,0.8750000000000004
random_top20_seed8,20.0,0.14509943839490677,1.0,2.390592205436531,12,0.0,0.8708333333333336
random_top20_seed9,20.0,0.10211046806514568,1.0,1.7285397725043625,12,0.0,0.8416666666666669
random_top20_seed10,20.0,0.12719334196847595,1.0,1.8956495802799986,12,0.0,0.8500000000000004
random_top20_seed11,20.0,0.09874369432498344,0.9166666666666666,1.5663800629228388,12,-0.018354832825857852,0.8416666666666671
random_top20_seed12,20.0,0.10562955400541085,0.9166666666666666,1.2150708731973767,12,-0.06365496065154563,0.8750000000000004
random_top20_seed13,20.0,0.11782450471118133,0.9166666666666666,1.354091732347411,12,0.0,0.8583333333333337
random_top20_seed14,20.0,0.10885701028773538,0.9166666666666666,1.475444667326211,12,0.0,0.8708333333333337
random_top20_seed15,20.0,0.12741968033928716,1.0,1.3914834272148229,12,0.0,0.8833333333333337
random_top20_seed16,20.0,0.1257529869932445,1.0,1.8952634776301076,12,0.0,0.8541666666666671
random_top20_seed17,20.0,0.08671502156611881,0.8333333333333334,1.3454561580712405,12,-0.01782855703320434,0.8875000000000005
random_top20_seed18,20.0,0.1264116318310494,1.0,1.7629670289482935,12,0.0,0.8458333333333337
random_top20_seed19,20.0,0.14208948727805215,1.0,1.6499392054860367,12,0.0,0.8708333333333337
