weight_name,tx_cost_bps,slip_bps_per_turnover,avg_return_adj,hit_rate_adj,sharpe_like_adj,turnover_avg
w0_base,0,0,0.4695284060605491,1.0,2.2745232692156705,0.10748663101604279
w0_base,0,5,0.46947466274504107,1.0,2.2742113495949225,0.10748663101604279
w0_base,0,10,0.46942091942953307,1.0,2.273899380595069,0.10748663101604279
w0_base,10,0,0.468528406060549,1.0,2.2696789973039886,0.10748663101604279
w0_base,10,5,0.46847466274504107,1.0,2.269367187534509,0.10748663101604279
w0_base,10,10,0.46842091942953307,1.0,2.2690553285162682,0.10748663101604279
w0_base,20,0,0.4675284060605491,1.0,2.2648347253923076,0.10748663101604279
w0_base,20,5,0.46747466274504107,1.0,2.264523025474096,0.10748663101604279
w0_base,20,10,0.467420919429533,1.0,2.2642112764374676,0.10748663101604279
w10_risk_high,0,0,0.4698276700262035,1.0,2.27331240517283,0.1072192513368984
w10_risk_high,0,5,0.46977406040053504,1.0,2.2730016493256993,0.1072192513368984
w10_risk_high,0,10,0.4697204507748666,1.0,2.2726908442983724,0.1072192513368984
w10_risk_high,10,0,0.46882767002620357,1.0,2.26847379614615,0.1072192513368984
w10_risk_high,10,5,0.46877406040053504,1.0,2.2681631496278065,0.1072192513368984
w10_risk_high,10,10,0.4687204507748666,1.0,2.267852454058924,0.1072192513368984
w10_risk_high,20,0,0.4678276700262035,1.0,2.26363518711947,0.1072192513368984
w10_risk_high,20,5,0.4677740604005351,1.0,2.2633246499299142,0.1072192513368984
w10_risk_high,20,10,0.4677204507748666,1.0,2.2630140638194756,0.1072192513368984
w11_balanced_plus,0,0,0.4695799779174275,1.0,2.276542324450041,0.1089572192513369
w11_balanced_plus,0,5,0.46952549930780174,1.0,2.27622827333515,0.1089572192513369
w11_balanced_plus,0,10,0.4694710206981761,1.0,2.2759141726554892,0.1089572192513369
w11_balanced_plus,10,0,0.46857997791742745,1.0,2.271694284858263,0.1089572192513369
w11_balanced_plus,10,5,0.4685254993078018,1.0,2.2713803400989554,0.1089572192513369
w11_balanced_plus,10,10,0.4684710206981761,1.0,2.2710663459051377,0.1089572192513369
w11_balanced_plus,20,0,0.4675799779174274,1.0,2.266846245266484,0.1089572192513369
w11_balanced_plus,20,5,0.46752549930780174,1.0,2.266532406862761,0.1089572192513369
w11_balanced_plus,20,10,0.46747102069817614,1.0,2.266218519154786,0.1089572192513369
w1_ret_up,0,0,0.47113160846740093,1.0,2.2757046484329155,0.10427807486631016
w1_ret_up,0,5,0.47107946942996776,1.0,2.2754198540674344,0.10427807486631016
w1_ret_up,0,10,0.47102733039253464,1.0,2.275135004098755,0.10427807486631016
w1_ret_up,10,0,0.47013160846740093,1.0,2.2708743534420197,0.10427807486631016
w1_ret_up,10,5,0.4700794694299678,1.0,2.2705896290168277,0.10427807486631016
w1_ret_up,10,10,0.4700273303925346,1.0,2.2703048491219664,0.10427807486631016
w1_ret_up,20,0,0.46913160846740093,1.0,2.2660440584511234,0.10427807486631016
w1_ret_up,20,5,0.4690794694299678,1.0,2.26575940396622,0.10427807486631016
w1_ret_up,20,10,0.46902733039253464,1.0,2.2654746941451784,0.10427807486631016
w2_prob_up,0,0,0.46811478162575826,1.0,2.2791286539415347,0.11176470588235293
w2_prob_up,0,5,0.4680588992728171,1.0,2.2788063808792667,0.11176470588235293
w2_prob_up,0,10,0.468003016919876,1.0,2.2784840600197973,0.11176470588235293
w2_prob_up,10,0,0.46711478162575826,1.0,2.274259915026634,0.11176470588235293
w2_prob_up,10,5,0.46705889927281713,1.0,2.273937749208296,0.11176470588235293
w2_prob_up,10,10,0.46700301691987595,1.0,2.2736155357204977,0.11176470588235293
w2_prob_up,20,0,0.4661147816257583,1.0,2.269391176111734,0.11176470588235293
w2_prob_up,20,5,0.4660588992728172,1.0,2.269069117537326,0.11176470588235293
w2_prob_up,20,10,0.46600301691987595,1.0,2.2687470114211985,0.11176470588235293
w3_qual_up,0,0,0.46897604473092586,1.0,2.280634106546893,0.1085561497326203
w3_qual_up,0,5,0.4689217666560595,1.0,2.2803209799321404,0.1085561497326203
w3_qual_up,0,10,0.46886748858119326,1.0,2.280007804729173,0.1085561497326203
w3_qual_up,10,0,0.4679760447309258,1.0,2.2757710988684186,0.1085561497326203
w3_qual_up,10,5,0.46792176665605956,1.0,2.275458077115337,0.1085561497326203
w3_qual_up,10,10,0.4678674885811932,1.0,2.2751450069019477,0.1085561497326203
w3_qual_up,20,0,0.4669760447309258,1.0,2.270908091189945,0.1085561497326203
w3_qual_up,20,5,0.4669217666560595,1.0,2.2705951742985335,0.1085561497326203
w3_qual_up,20,10,0.4668674885811933,1.0,2.270282209074723,0.1085561497326203
w4_tech_up,0,0,0.47103526726959183,1.0,2.2842766864091972,0.10614973262032086
w4_tech_up,0,5,0.4709821924032817,1.0,2.2839760465613606,0.10614973262032086
w4_tech_up,0,10,0.4709291175369716,1.0,2.2836753535603367,0.10614973262032086
w4_tech_up,10,0,0.47003526726959194,1.0,2.279427205181072,0.10614973262032086
w4_tech_up,10,5,0.4699821924032817,1.0,2.2791266571716964,0.10614973262032086
w4_tech_up,10,10,0.46992911753697153,1.0,2.278826056142703,0.10614973262032086
w4_tech_up,20,0,0.4690352672695919,1.0,2.274577723952945,0.10614973262032086
w4_tech_up,20,5,0.46898219240328165,1.0,2.2742772677820318,0.10614973262032086
w4_tech_up,20,10,0.4689291175369716,1.0,2.27397675872507,0.10614973262032086
w5_ret_high,0,0,0.4720938845807836,1.0,2.2545757723121906,0.10574866310160431
