date,model_version,portfolio_return,turnover,num_holdings,cum_return
2023-01-03,v1,0.5909849925117729,0.5,20,0.5909849925117729
2023-01-04,v1,0.5535094824438203,0.05,20,1.4716102722928497
2023-01-05,v1,0.588994062156739,0.05,20,2.927374046638939
2023-01-06,v1,0.5589960287179874,0.05,20,5.122760542000197
2023-01-10,v1,0.5674767198951021,0.05,20,8.597284611077626
2023-01-11,v1,0.579197377854879,0.1,20,14.156006692340771
2023-01-12,v1,0.5767925322245099,0.05,20,22.897878170827624
2023-01-13,v1,0.5592741956245777,0.1,20,36.2633447619514
2023-01-17,v1,0.5986928971713927,0.1,20,58.57264459578053
2023-01-18,v1,0.6064399671156181,0.05,20,94.69987722543608
2023-01-19,v1,0.6014800010218985,0.0,20,152.26143947678693
2023-01-20,v1,0.40853431574552646,0.35000000000000003,20,214.87399678361052
2023-01-25,v1,0.40387981444880827,0.2,20,302.0611465488978
2023-01-26,v1,0.4069035368548849,0.05,20,425.37779896294086
2023-01-27,v1,0.4438939344673827,0.05,20,614.6443177141434
2023-02-01,v1,0.4911974508129163,0.05,20,917.0472371827879
2023-02-02,v1,0.4737525258126543,0.05,20,1351.9744346134626
2023-02-03,v1,0.4716672612701493,0.05,20,1990.1281807561231
2023-02-07,v1,0.48130037940114273,0.05,20,2948.4589295903525
2023-02-08,v1,0.47832532726640953,0.0,20,4359.259837345491
2023-02-09,v1,0.47245425242864814,0.0,20,6419.283139193214
2023-02-10,v1,0.5018368968383451,0.0,20,9641.218106589486
2023-02-14,v1,0.46212947952159816,0.05,20,14097.171341621415
2023-02-15,v1,0.4816319433510944,0.1,20,20887.30100258324
2023-02-16,v1,0.509452790948506,0.05,20,31528.90424652175
2023-02-17,v1,0.50933309200849,0.0,20,47588.12786713429
2023-02-21,v1,0.4547767991462751,0.05,20,69230.55911271242
2023-02-22,v1,0.49368037008076016,0.05,20,103408.82083674431
2023-02-23,v1,0.49140645854529497,0.05,20,154225.0746729323
2023-02-24,v1,0.44360713357916903,0.05,20,222640.86158175868
2023-03-02,v1,0.46687763596377313,0.05,20,326587.3675836238
2023-03-03,v1,0.5079988593629637,0.05,20,492493.88579731697
2023-03-07,v1,0.4387848278963308,0.05,20,708593.1695017157
2023-03-09,v1,0.4828409400183945,0.05,20,1050731.4443954777
2023-03-10,v1,0.5024419491370724,0.05,20,1578663.501779102
2023-03-14,v1,0.6244292618056645,0.0,20,2564427.8112638337
2023-03-15,v1,0.5801939752617578,0.0,20,4052293.9575467813
2023-03-16,v1,0.5691426779217251,0.05,20,6358627.96141366
2023-03-17,v1,0.5617090059656948,0.15000000000000002,20,9930327.114634005
2023-03-21,v1,0.5917817200916973,0.0,20,15806913.767387059
2023-03-22,v1,0.6415935889108807,0.0,20,25948528.942603324
2023-03-23,v1,0.6408450254235037,0.05,20,42577515.2733735
2023-03-24,v1,0.6267362059073537,0.15000000000000002,20,69262386.2795062
2023-03-28,v1,0.6562263109393284,0.0,20,114714187.17078762
2023-03-29,v1,0.6788818778411663,0.05,20,192591570.6511968
2023-03-30,v1,0.6306757196122391,0.1,20,314054398.6935675
2023-03-31,v1,0.6467559031523241,0.15000000000000002,20,517170935.6063418
2023-04-04,v1,0.594419918077472,0.15000000000000002,20,824587641.3759329
2023-04-05,v1,0.6094792291074691,0.05,20,1327156681.9827619
2023-04-06,v1,0.6417017994589005,0.0,20,2178795513.616706
2023-04-07,v1,0.5846509258436907,0.1,20,3452630328.4614434
2023-04-11,v1,0.49052871121227304,0.1,20,5146244634.26457
2023-04-12,v1,0.5041784562439722,0.05,20,7740870309.9260845
2023-04-13,v1,0.5058390368228857,0.05,20,11656504692.175806
2023-04-14,v1,0.5346930824913015,0.05,20,17889157117.644302
2023-04-18,v1,0.42745593691129685,0.15000000000000002,20,25535983534.347797
2023-04-19,v1,0.41095591245550595,0.05,20,36030146948.56543
2023-04-20,v1,0.4913632764231076,0.05,20,53734038003.70994
2023-04-21,v1,0.5482869635101248,0.1,20,83195710538.45
2023-04-25,v1,0.5391935819593988,0.05,20,128054303707.87335
2023-04-26,v1,0.5837123311216467,0.05,20,202801179835.93915
2023-04-27,v1,0.47163064876202654,0.05,20,298448431852.13916
2023-04-28,v1,0.4624258819764003,0.05,20,436458711176.3006
2023-05-02,v1,0.533422965292096,0.05,20,669275811120.0627
2023-05-03,v1,0.5737736147380867,0.0,20,1053288612523.7599
2023-05-04,v1,0.5133568453071573,0.05,20,1594001531847.4233
2023-05-09,v1,0.48642932386771076,0.05,20,2369370619228.547
2023-05-10,v1,0.49721359610442095,0.05,20,3547453905319.828
2023-05-11,v1,0.5473026469397351,0.1,20,5488984817598.618
2023-05-12,v1,0.5421973984213835,0.05,20,8465098105675.604
2023-05-16,v1,0.5654870748018423,0.05,20,13252001671365.283
2023-05-18,v1,0.4916173300770196,0.1,20,19766915351218.58
2023-05-19,v1,0.5275151925001059,0.1,20,30194263507850.47
2023-05-23,v1,0.4657853946984497,0.05,20,44258310453484.06
2023-05-24,v1,0.45996408659946075,0.05,20,64615543795656.69
2023-05-25,v1,0.4396953564685659,0.05,20,93026698358298.62
2023-05-26,v1,0.4770758552687456,0.05,20,137407490040412.02
2023-05-30,v1,0.439324209736382,0.05,20,197773927014276.25
2023-05-31,v1,0.42819066714003895,0.1,20,282458876765425.0
2023-06-01,v1,0.4333012411013019,0.1,20,404848658627963.8
2023-06-02,v1,0.4451407800509736,0.1,20,585063306332206.4
2023-06-07,v1,0.4384669487146494,0.1,20,841594229064593.6
2023-06-08,v1,0.48479401752190576,0.05,20,1249594076496069.5
