file,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods,avg_return,hit_rate,num_periods,mdd
outputs\research_plan_2025-12-16\02_stability_yearly\run4_2025\summary.csv,v1,60.0,0.1399951737476702,0.2076731130406361,0.741317012945949,19757.0,0.1290083296768732,0.8811881188118812,1.0931533233543949,101.0,,,,
outputs\research_plan_2025-12-16\02_stability_yearly\run4_2025\portfolio_v1.csv,,,,,,,,,,,0.12900832967687323,0.8811881188118812,101.0,-0.4271175267509865
