file,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods,avg_return,hit_rate,num_periods,mdd
outputs\research_plan_2025-12-16\02_stability_yearly\run4_2024\summary.csv,v1,60.0,0.1131831111940048,0.1812680476942582,0.7561426904863132,22153.0,0.037737326665457,0.6779661016949152,0.4563673192062734,118.0,,,,
outputs\research_plan_2025-12-16\02_stability_yearly\run4_2024\portfolio_v1.csv,,,,,,,,,,,0.037737326665457045,0.6779661016949152,118.0,-0.6599536877996116
