date,code,pred_return_60d,pred_mdd_60d,pred_return_90d,pred_mdd_90d,prob_top20_60d,prob_top20_90d,score,score_score,close,quality_score,vol_20,vol_60,vol_ma_20,volume,name,market,sector,tech_score,pred_score_60,pred_score_90,pred_score,ret_score,prob_score,qual_score,vol_20_pct,vol_60_pct,safety_score,liquidity_score,final_score,risk_penalty,market_up,market_status_date,market_kospi_close,market_kospi_ma20,market_vol_5d,market_foreign_5d,generated_at,model_version
2025-12-15,377300,0.1824031101164092,-0.1027861658896192,0.1725872651677613,-0.1491690866564412,0.0520227195577801,0.0543733653455116,18.24031101164092,0.0,46800.0,-0.037419268211113,0.0119356632120878,0.0164970388640985,406469.1,301769.0,카카오페이,KOSPI,인터넷/플랫폼·콘텐츠,50.24875621890548,83.5820895522388,71.64179104477611,78.80597014925372,78.80597014925372,5.20227195577801,30.319148936170212,2.0,4.522613065326634,96.73869346733667,54.50000000000001,52.74739138027396,0.0,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,034220,0.124642768513675,-0.1406803671102827,0.3643073889035872,-0.145893716647356,0.1705732094924125,0.2354395600262556,12.464276851367506,0.0,12300.0,-0.1684413686288325,0.0224713318297181,0.0301767619531885,1595273.95,1453674.0,LG디스플레이,KOSPI,,50.24875621890548,73.13432835820896,92.53731343283582,80.8955223880597,80.8955223880597,17.05732094924125,18.617021276595743,27.0,37.68844221105528,67.65577889447236,86.5,52.40536934839447,0.0,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,145020,0.0592243198328266,-0.2016075297109565,0.2054332166949743,-0.1966081846563064,0.3809679607115597,0.3031087729357141,5.922431983282661,0.0,220500.0,0.3202990732654096,0.0244262455923924,0.0264845394514811,49824.05,45765.0,휴젤,KOSDAQ,바이오/제약,50.24875621890548,54.72636815920397,78.60696517412936,64.27860696517413,64.27860696517413,38.09679607115597,98.40425531914892,31.0,28.643216080402013,70.178391959799,4.0,51.75152589496615,5.160752971095651,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,263750,0.120081890796575,-0.1592473008399831,0.223549209129976,-0.1857352105705677,0.1614180489758715,0.1645431255580781,12.008189079657503,0.0,37700.0,0.0247516653251214,0.0185451160118319,0.022238923357483,171858.95,112614.0,펄어비스,KOSDAQ,,50.24875621890548,71.14427860696517,82.58706467661692,75.72139303482587,75.72139303482587,16.14180489758715,47.87234042553192,18.0,19.09547738693467,81.45226130653266,23.5,51.54452572221515,0.9247300839983096,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,267260,0.6134446966256162,-0.2014318101543202,0.5912047576416113,-0.2281384254669387,0.3626045069517826,0.0871936604106059,61.34446966256162,0.0,830000.0,-0.0378966962541854,0.0357319973722874,0.0347243255897858,148910.15,123407.0,HD현대일렉트릭,KOSPI,,50.24875621890548,99.50248756218906,98.0099502487562,98.90547263681592,98.90547263681592,36.26045069517826,29.78723404255319,63.5,53.266331658291456,41.61683417085428,17.5,51.2271354121266,5.143181015432022,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,323410,0.1621250654681323,-0.1562150814422701,0.1887943487258558,-0.1924181331808393,0.0833912796868536,0.0430358350425897,16.21250654681323,0.0,21550.0,-0.4558217168959501,0.015425836100726,0.0168509491009238,642846.5,458685.0,카카오뱅크,KOSPI,인터넷/플랫폼·콘텐츠,50.24875621890548,81.09452736318407,75.12437810945273,78.70646766169153,78.70646766169153,8.33912796868536,10.638297872340424,8.5,5.025125628140704,93.23743718592964,66.0,50.9619729444111,0.6215081442270093,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,036930,0.1247759983826646,-0.1755843043017123,0.147716597344357,-0.217982206372278,0.2085037391228384,0.1866487135400781,12.477599838266462,0.0,27700.0,0.1098688801050619,0.0271969253924566,0.0265942303292848,238367.0,155717.0,주성엔지니어링,KOSDAQ,반도체,50.24875621890548,73.6318407960199,66.16915422885572,70.64676616915423,70.64676616915423,20.85037391228384,76.59574468085107,39.0,29.64824120603015,65.67587939698493,36.0,50.69646270911467,2.5584304301712297,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,403870,0.1287888974171995,-0.1828839368539674,0.0851118796302186,-0.2416974191513237,0.1676526437572929,0.0480971629242317,12.878889741719956,0.0,28850.0,0.3029992623034117,0.0267878449822329,0.0289654511920532,444711.4,388191.0,HPSP,KOSDAQ,,50.24875621890548,75.12437810945273,54.72636815920397,66.96517412935323,66.96517412935323,16.76526437572929,97.87234042553192,38.0,34.67336683417086,63.663316582914575,56.49999999999999,50.69151961016775,3.28839368539674,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,105560,0.1417690238850293,-0.1473722112389858,0.2674061984702789,-0.1672654292925899,0.0411658035902625,0.0608836112379158,14.176902388502931,0.0,124900.0,-0.7941168974382321,0.0178493163081926,0.0189347291902862,929529.65,674088.0,KB금융,KOSPI,금융,50.24875621890548,77.61194029850746,86.56716417910447,81.19402985074626,81.19402985074626,4.1165803590262495,4.787234042553192,15.5,11.055276381909549,86.72236180904522,78.0,50.31174515342836,0.0,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
2025-12-15,316140,0.1280730429749383,-0.0974380099635946,0.3712726641216239,-0.1640860468232789,0.0206261245219343,0.0131095391165395,12.807304297493838,0.0,27400.0,-1.660929075448169,0.0192695753377034,0.0175938938066635,1931615.45,1268153.0,우리금융지주,KOSPI,금융,50.24875621890548,74.12935323383084,93.03482587064676,81.6915422885572,81.6915422885572,2.06261245219343,2.6595744680851063,19.0,8.040201005025125,86.47989949748744,90.0,50.29837160388297,0.0,False,2025-12-15,4090.59,4010.069,0.0114719320296184,-264810952216.0,2025-12-15 14:33:40,
