weight_name,w_ret,w_prob,w_qual,w_tech,w_risk,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods
w0_base,0.45,0.35,0.1,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5799550335501585,1.0,9.282801951547741,11
w1_ret_up,0.5,0.3,0.1,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5828904776471034,1.0,8.702422026670279,11
w2_prob_up,0.4,0.39999999999999997,0.1,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.577918913044624,1.0,8.720772898100304,11
w3_qual_up,0.4,0.35,0.15000000000000002,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5799550335501585,1.0,9.282801951547741,11
w4_tech_up,0.45,0.3,0.1,0.15000000000000002,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5835403698964737,1.0,8.816200525829421,11
w5_ret_high,0.55,0.24999999999999997,0.1,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5824563597485292,1.0,8.605679314991244,11
w6_prob_high,0.35,0.44999999999999996,0.1,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5760022822780356,1.0,8.421724991433564,11
w7_qual_high,0.4,0.3,0.2,0.1,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5787522025480346,1.0,9.061297237810804,11
w8_tech_high,0.4,0.3,0.1,0.2,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5787522025480346,1.0,9.061297237810804,11
w9_risk_low,0.45,0.35,0.1,0.1,0.8,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5799550335501585,1.0,9.282801951547741,11
w10_risk_high,0.45,0.35,0.1,0.1,1.2,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5799550335501584,1.0,9.282801951547736,11
w11_balanced_plus,0.5,0.39999999999999997,0.05,0.05,1.0,v1,60,0.11828916738962968,0.21458485226970353,0.7363503860987244,2021,0.5799550335501585,1.0,9.282801951547741,11
