date,model_version,portfolio_return,turnover,num_holdings,cum_return
2023-01-03,v1,0.5909849925117729,0.5,20,0.5909849925117729
2023-01-04,v1,0.5535094824438203,0.05,20,1.4716102722928497
2023-01-05,v1,0.6114552718255137,0.0,20,2.982889403184406
2023-01-06,v1,0.5589960287179874,0.0,20,5.209308762387444
2023-01-10,v1,0.5568810434084683,0.0,20,8.667155104831108
2023-01-11,v1,0.5679174417988979,0.0,20,14.157301101439948
2023-01-12,v1,0.5767925322245098,0.05,20,22.899919185428846
2023-01-13,v1,0.5592741956245776,0.1,20,36.266527263351975
2023-01-17,v1,0.5986928971713927,0.1,20,58.577732438164865
2023-01-18,v1,0.6064399671156182,0.05,20,94.70805053878867
2023-01-19,v1,0.5896024845989274,0.05,20,151.1377549325782
2023-01-20,v1,0.40853431574552657,0.35000000000000003,20,213.29124854301963
2023-01-25,v1,0.40387981444880827,0.2,20,299.83915824257787
2023-01-26,v1,0.4012259168258795,0.1,20,420.54362532558196
2023-01-27,v1,0.3685176730479438,0.1,20,575.8899012187597
2023-02-01,v1,0.4911974508129163,0.1,20,859.2567500971297
2023-02-02,v1,0.45810764469225473,0.05,20,1253.3469437147394
2023-02-03,v1,0.4716672612701493,0.05,20,1844.9813313392526
2023-02-07,v1,0.48130037940114273,0.05,20,2733.4528464802615
2023-02-08,v1,0.47832532726640953,0.0,20,4041.4108991674975
2023-02-09,v1,0.47245425242864814,0.0,20,5951.265118543097
2023-02-10,v1,0.480196520791716,0.05,20,8809.522119297384
2023-02-14,v1,0.46212947952159816,0.05,20,12881.124120601813
2023-02-15,v1,0.4816319433510944,0.1,20,19085.56659529727
2023-02-16,v1,0.509452790948506,0.05,20,28809.271216895988
2023-02-17,v1,0.50933309200849,0.0,20,43483.295737400826
2023-02-21,v1,0.4547767991462752,0.05,20,63258.94456598599
2023-02-22,v1,0.49368037008076016,0.05,20,94489.13741061033
2023-02-23,v1,0.4914064585452949,0.05,20,140922.20120301662
2023-02-24,v1,0.44360713357916903,0.05,20,203436.73854348736
2023-03-02,v1,0.4641909659802299,0.0,20,297870.6989148222
2023-03-03,v1,0.48056738477152583,0.1,20,441018.12225976965
2023-03-07,v1,0.42553275976981003,0.1,20,628686.2064662287
2023-03-09,v1,0.4828409400183945,0.1,20,932242.1282139211
2023-03-10,v1,0.5024419491370725,0.05,20,1400640.1826233654
2023-03-14,v1,0.6244292618056645,0.0,20,2275241.522343486
2023-03-15,v1,0.5801939752617578,0.0,20,3595323.526066542
2023-03-16,v1,0.5691426779217251,0.05,20,5641576.154829712
2023-03-17,v1,0.5617090059656948,0.15000000000000002,20,8810500.850547882
2023-03-21,v1,0.5917817200916973,0.0,20,14024394.79053619
2023-03-22,v1,0.6480340066012984,0.05,20,23112680.18483974
2023-03-23,v1,0.6408450254235039,0.05,20,37924326.946343705
2023-03-24,v1,0.6267362059073537,0.15000000000000002,20,61692876.35502138
2023-03-28,v1,0.6452086387094214,0.05,20,101497653.77132201
2023-03-29,v1,0.6650102166328237,0.05,20,168994631.15852243
2023-03-30,v1,0.620698920730978,0.15000000000000002,20,273889416.94864595
2023-03-31,v1,0.6437153875653254,0.1,20,450196249.77349997
2023-04-04,v1,0.594419918077472,0.15000000000000002,20,717801868.2770689
2023-04-05,v1,0.6094792291074691,0.05,20,1155287198.2159572
2023-04-06,v1,0.6417017994589005,0.0,20,1896637072.84467
2023-04-07,v1,0.5846509258436907,0.1,20,3005507694.057425
2023-04-11,v1,0.4905287112122731,0.1,20,4479795510.252513
2023-04-12,v1,0.5041784562439722,0.05,20,6738411895.404481
2023-04-13,v1,0.5058390368228857,0.05,20,10146963678.797598
2023-04-14,v1,0.5402095399915519,0.1,20,15628450260.572042
2023-04-18,v1,0.42745593691129685,0.2,20,22308924109.603924
2023-04-19,v1,0.41095591245550595,0.05,20,31476908373.377796
2023-04-20,v1,0.49136327642310756,0.05,20,46943505203.88202
2023-04-21,v1,0.5482869635101248,0.1,20,72682017129.18852
2023-04-25,v1,0.5391935819593988,0.05,20,111871694289.64926
2023-04-26,v1,0.5867411408441489,0.05,20,177511419825.91266
2023-04-27,v1,0.4462953231205088,0.1,20,256733936295.14493
2023-04-28,v1,0.4624258819764003,0.05,20,375454353220.1627
2023-05-02,v1,0.533422965292096,0.05,20,575730327647.2213
2023-05-03,v1,0.5737736147380867,0.0,20,906069198856.2843
2023-05-04,v1,0.5133568453071573,0.05,20,1371206024411.643
2023-05-09,v1,0.48642932386771076,0.05,20,2038200843750.0166
2023-05-10,v1,0.49721359610442095,0.05,20,3051622014854.5244
2023-05-11,v1,0.5473026469397351,0.1,20,4721782821044.5205
2023-05-12,v1,0.5421973984213835,0.05,20,7281921182526.183
2023-05-16,v1,0.5654870748018423,0.05,20,11399753490971.053
2023-05-18,v1,0.4872195055795275,0.1,20,16953935750570.947
2023-05-19,v1,0.5275151925001059,0.15000000000000002,20,25897394431668.332
2023-05-23,v1,0.4657853946984497,0.05,20,37960022518684.87
2023-05-24,v1,0.45996408659946075,0.05,20,55420269603787.17
2023-05-25,v1,0.4396953564685659,0.05,20,79788304802808.84
2023-05-26,v1,0.4770758552687456,0.05,20,117853378557052.7
2023-05-30,v1,0.44237196766565645,0.05,20,169988409525382.03
2023-05-31,v1,0.4256747493445743,0.1,20,242348183141582.28
2023-06-01,v1,0.4316612595415087,0.1,20,346960505124074.4
2023-06-02,v1,0.4367378541573541,0.1,20,498491291609314.75
2023-06-07,v1,0.4384669487146494,0.1,20,717063247202076.0
2023-06-08,v1,0.48479401752190576,0.05,20,1064691219630474.2
