model_version,prob_mean,prob_min,prob_max,n,observed_rate
v1,0.057885980208842044,0.0026373766167967,0.1003058654487783,13642,0.06868494355666324
v1,0.14181614029972298,0.1003089757036816,0.1979300015105768,11837,0.13939342738869645
v1,0.24202050380074205,0.1979786830123677,0.2956002152414166,4233,0.3201039451925348
v1,0.3403545115671451,0.295819340343514,0.3933149620801958,2284,0.43782837127845886
v1,0.4408591487247584,0.3935724851058497,0.4909718788507678,1775,0.6067605633802817
v1,0.5379307427187777,0.4910022743735858,0.5885819124482768,1626,0.6746617466174661
v1,0.6371047405092102,0.5886686684564314,0.6862818038860624,1401,0.7387580299785867
v1,0.7329411624099392,0.686515818692538,0.7839882359254858,1178,0.7928692699490663
v1,0.8256698879682223,0.7840057269749073,0.8815954695469104,697,0.812051649928264
v1,0.9248819973317008,0.8818998289114399,0.9793369569450918,302,0.890728476821192
