date,code,roe,op_margin,net_margin,debt_ratio,ocf_to_assets,quality_raw_score,quality_score,quality_factor_count,quality_missing_ratio,quality_score_confidence
2020-12-31,000100,,0.0474102217326059,0.4153502368134,0.2895778398548366,,0.8356733715062618,87.5,3,0.4,75.0
2020-12-31,000150,,0.0517709351256733,-0.0085524105843624,3.521272501417815,,-0.8363791157050021,14.583333333333334,3,0.4,75.0
2020-12-31,000250,,6.262258231472248e-05,-0.1900719714638871,0.2329390936475633,,-0.8498263682773914,13.88888888888889,3,0.4,75.0
2020-12-31,000270,,0.0119614382815897,,1.1319943704352615,,-0.21074102533008215,38.88888888888889,2,0.6,60.0
2020-12-31,000660,,0.1598884554078127,,0.3716527470343556,,0.24960274706808733,67.36111111111111,2,0.6,60.0
2020-12-31,000720,,0.0345940848730841,0.0207402232736662,1.0602710438174563,,-0.3051905541280313,30.555555555555557,3,0.4,75.0
2020-12-31,000880,,0.0545050981908053,0.0351530827999372,8.694439760478772,,-0.6614085841265044,19.444444444444446,3,0.4,75.0
2020-12-31,001040,,0.0521737680241148,0.0172484765255749,1.6581089861665617,,-0.40588201317358774,25.0,3,0.4,75.0
2020-12-31,003230,,0.1398592060353889,0.1053180805676613,0.5984413801992131,,0.33379742030764764,70.13888888888889,3,0.4,75.0
2020-12-31,003380,,0.0353901840437511,,1.7179486689619274,,-0.2834476675040677,32.63888888888889,2,0.6,60.0
2020-12-31,003490,,-0.0428444374907857,-0.8885773301614159,0.8738809343427818,,-1.0700150544346179,11.11111111111111,3,0.4,75.0
2020-12-31,003550,,0.7561816869864202,,0.1574856176808979,,0.902958326828714,90.97222222222221,2,0.6,60.0
2020-12-31,003670,,0.0498661640615818,0.0176308556055528,1.0430613155228707,,-0.2823474766484173,33.33333333333333,3,0.4,75.0
2020-12-31,005290,,0.2069561614115495,0.1463146516745317,1.144582121692134,,0.5177840271373125,75.69444444444444,3,0.4,75.0
2020-12-31,005380,,-0.011380372044892,,1.730335597166749,,-0.38199237966907235,27.083333333333332,2,0.6,60.0
2020-12-31,005490,,0.0467497436949668,0.0738767162932565,0.7177350535469961,,-0.003726287382848238,54.166666666666664,3,0.4,75.0
2020-12-31,005930,,0.1844753671217558,0.1397866112260648,0.3608819065757509,,0.6079043483261025,79.16666666666666,3,0.4,75.0
2020-12-31,006260,,0.0535621712892083,0.0267767583674394,1.58966353497668,,-0.35200066414875975,28.47222222222222,3,0.4,75.0
2020-12-31,006400,,0.0865987897714165,,0.6050846624189916,,0.051063313853551506,59.72222222222222,2,0.6,60.0
2020-12-31,006730,,0.0082037457585058,1.6534900021167738,1.883829415501342,,0.42655981965283296,73.61111111111111,3,0.4,75.0
2020-12-31,007390,,-0.7338544781689484,-1.2936031137167023,0.3223385363112283,,-1.5152200135247134,4.166666666666666,3,0.4,75.0
2020-12-31,007660,,0.0291335786619951,-0.0003995445591583,4.6966608105324505,,-0.8512473067305812,13.194444444444445,3,0.4,75.0
2020-12-31,009150,,0.132206833432507,,0.5974511670182543,,0.146242206694127,64.58333333333334,2,0.6,60.0
2020-12-31,009540,,0.0117526084607855,,1.0034702608818908,,-0.18467504154210942,40.27777777777778,2,0.6,60.0
2020-12-31,009830,,0.0960115218784417,0.1661245877856405,1.543331123391993,,0.28464639382174933,69.44444444444444,3,0.4,75.0
2020-12-31,010120,,0.0484117613571168,,0.8260565151930209,,-0.07286339830821945,47.91666666666667,2,0.6,60.0
2020-12-31,010130,,0.6656371735794561,,0.168017392434867,,0.9007872557184545,89.58333333333334,2,0.6,60.0
2020-12-31,010140,,,,2.0864799843998503,,-0.2788886849338748,34.72222222222222,1,0.8,15.0
2020-12-31,010620,,0.0456425928549914,,,,-0.05948791963628524,48.61111111111111,1,0.8,20.0
2020-12-31,010950,,-0.0023725470835572,,1.893721881012184,,-0.3971860911292666,26.38888888888889,2,0.6,60.0
2020-12-31,011070,,0.0400998582735246,,1.7518319914154508,,-0.28076647281816747,34.02777777777778,2,0.6,60.0
2020-12-31,011200,,0.1612287341633672,0.0143289085030759,4.38540065615294,,-0.5230643071250293,22.22222222222222,3,0.4,75.0
2020-12-31,012330,,0.0598841703787952,,0.3119033185527695,,0.05667244030253549,61.80555555555556,2,0.6,60.0
2020-12-31,012450,,0.0684658809100622,0.0406860157602138,2.2954025179645936,,-0.4129985301691618,24.305555555555554,3,0.4,75.0
2020-12-31,015760,,0.1484405217951297,0.0796444512788408,1.8769608762225067,,-0.011636043437054405,52.083333333333336,3,0.4,75.0
2020-12-31,017670,,0.0764217025214539,0.083637331367228,0.918284958388194,,0.05365210609283753,61.111111111111114,3,0.4,75.0
2020-12-31,018260,,0.0740664885029777,0.0542251505388096,0.354026022761886,,0.05116504446703751,60.416666666666664,3,0.4,75.0
2020-12-31,018880,,,,2.3940136651758523,,-0.34228516894174876,29.166666666666668,1,0.8,15.0
2020-12-31,021240,,0.2106584154884379,0.1459145265886142,1.157500013184162,,0.5211690364755325,76.38888888888889,3,0.4,75.0
2020-12-31,028050,,0.0624174796380415,,0.6816777071886738,,-0.01435531782453379,51.388888888888886,2,0.6,60.0
2020-12-31,028260,,0.02745190038854,0.0411963658513687,0.7225436127960152,,-0.17096065933136909,41.66666666666667,3,0.4,75.0
2020-12-31,028300,,-1.7500976129416532,-1.3561872401249062,0.2789906196986318,,-1.5062840638252502,5.555555555555555,3,0.4,75.0
2020-12-31,030200,,0.0487129403162501,0.0383371786766575,1.2904488597750718,,-0.2554749131215621,36.80555555555556,3,0.4,75.0
