code,name,market,sector,listed_at,delisted_at
310210,보로노이,KOSDAQ,제약,,
347850,디앤디파마텍,KOSDAQ,생물공학,,
214370,케어젠,KOSDAQ,건강관리업체및서비스,,
214150,클래시스,KOSDAQ,건강관리장비와용품,,
039030,이오테크닉스,KOSDAQ,반도체와반도체장비,,
0009K0,에임드바이오,KOSDAQ,바이오/제약,,
240810,원익IPS,KOSDAQ,반도체와반도체장비,,
145020,휴젤,KOSDAQ,바이오/제약,,
226950,올릭스,KOSDAQ,생명과학도구및서비스,,
068760,셀트리온제약,KOSDAQ,바이오/제약,,
237690,에스티팜,KOSDAQ,바이오/제약,,
257720,실리콘투,KOSDAQ,인터넷과카탈로그소매,,
403870,HPSP,KOSDAQ,반도체와반도체장비,,
035900,JYP Ent.,KOSDAQ,인터넷/플랫폼·콘텐츠,,
263750,펄어비스,KOSDAQ,게임엔터테인먼트,,
041510,에스엠,KOSDAQ,방송과엔터테인먼트,,
030530,원익홀딩스,KOSDAQ,반도체와반도체장비,,
039200,오스코텍,KOSDAQ,제약,,
140410,메지온,KOSDAQ,바이오/제약,,
095340,ISC,KOSDAQ,반도체,,
357780,솔브레인,KOSDAQ,반도체,,
222800,심텍,KOSDAQ,전자장비와기기,,
160190,하이젠알앤엠,KOSDAQ,기계,,
005290,동진쎄미켐,KOSDAQ,반도체,,
098460,고영,KOSDAQ,전자장비와기기,,
475830,오름테라퓨틱,KOSDAQ,제약,,
065350,신성델타테크,KOSDAQ,가정용기기와용품,,
083650,비에이치아이,KOSDAQ,에너지장비및서비스,,
060370,LS마린솔루션,KOSDAQ,조선/해양·해운,,
084370,유진테크,KOSDAQ,반도체,,
445680,큐리옥스바이오시스템즈,KOSDAQ,바이오/제약,,
064760,티씨케이,KOSDAQ,반도체와반도체장비,,
058610,에스피지,KOSDAQ,전기제품,,
089030,테크윙,KOSDAQ,반도체,,
067310,하나마이크론,KOSDAQ,반도체,,
290650,엘앤씨바이오,KOSDAQ,바이오/제약,,
437730,삼현,KOSDAQ,자동차부품,,
323280,태성,KOSDAQ,전자장비와기기,,
178320,서진시스템,KOSDAQ,전기장비,,
140860,파크시스템스,KOSDAQ,전자장비와기기,,
348370,엔켐,KOSDAQ,2차전지,,
458870,씨어스테크놀로지,KOSDAQ,건강관리기술,,
195940,HK이노엔,KOSDAQ,제약,,
003380,하림지주,KOSDAQ,금융,,
293490,카카오게임즈,KOSDAQ,인터넷/플랫폼·콘텐츠,,
007390,네이처셀,KOSDAQ,바이오/제약,,
035760,CJ ENM,KOSDAQ,인터넷/플랫폼·콘텐츠,,
036930,주성엔지니어링,KOSDAQ,반도체,,
096530,씨젠,KOSDAQ,바이오/제약,,
466100,클로봇,KOSDAQ,기계,,
358570,지아이이노베이션,KOSDAQ,정유/화학,,
456160,지투지바이오,KOSDAQ,바이오/제약,,
082270,젬백스,KOSDAQ,반도체와반도체장비,,
085660,차바이오텍,KOSDAQ,바이오/제약,,
204270,제이앤티씨,KOSDAQ,핸드셋,,
319400,현대무벡스,KOSDAQ,기계,,
078600,대주전자재료,KOSDAQ,전자/부품,,
253450,스튜디오드래곤,KOSDAQ,인터넷/플랫폼·콘텐츠,,
