date,code,pred_return_60d,pred_mdd_60d,pred_return_90d,pred_mdd_90d,prob_top20_60d,prob_top20_90d,score,score_score,close,quality_score,vol_20,vol_60,vol_ma_20,volume,rsi_14,name,market,sector,mom_60d,turnover_20d,vol_20d,pred_return_60d_pct01,pred_return_90d_pct01,ret_score_v11,ret_score,prob_score,qual_score,tech_score,pred_score,risk_penalty,market_regime_score,final_score_v5,final_score,market_up,market_status_date,market_kospi_close,market_kospi_ma20,market_vol_5d,market_foreign_5d,generated_at,model_version
2026-01-02,336370,0.5742353307614563,-0.1628386187682289,0.6377144764373828,-0.2239580196234747,0.5169443244986899,0.6744170570743022,57.42353307614563,0.0,7110.0,0.0535005781846179,0.0151690457219254,0.0544048035615065,205568.45,259055.0,31.2758094399733,솔루스첨단소재,KOSPI,2차전지,0.0,0.0,0.0151690457219254,0.9900990099009901,0.9554455445544554,97.97029702970296,80.35936634107102,56.418614427137356,52.640557300995596,45.2830159443638,60.0,0.6784141820540013,1.05,43.33240018287104,43.33240018287104,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,068760,0.4654013782627977,-0.1731669533267016,0.5244458411871693,-0.1997872944741696,0.7084276981092859,0.3028475373460925,46.54013782627977,0.0,61900.0,0.1023090931315166,0.0190423034925822,0.0240721355308967,101805.5,341692.0,55.03432164759801,셀트리온제약,KOSDAQ,바이오/제약,0.0,0.0,0.0190423034925822,0.9752475247524752,0.9356435643564357,96.33663366336633,74.22369027238761,58.67536498803278,53.88851434398828,50.51531345286498,60.0,0.6770499218683421,1.05,43.23479643739478,43.23479643739478,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,047810,0.4335243992771538,-0.1576158797183204,0.6931497771844197,-0.2219270373958975,0.4666974776002379,0.5281884900970448,43.35243992771538,0.0,116800.0,-0.2160608674222399,0.0280580735157766,0.0286305683734055,661237.6,631852.0,59.46721738150845,한국항공우주,KOSPI,기계/중공업·방산,0.0,0.0,0.0280580735157766,0.9702970297029703,0.9653465346534653,96.88118811881188,77.03508980543013,48.514478134928,45.74829465112078,51.4915626851945,60.0,0.6614522458872265,1.05,40.00579117796336,40.00579117796336,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,011200,0.2385568361665349,-0.1012983716543745,0.3268759415199833,-0.1015858618207908,0.0563538205341934,0.0409250853237446,23.85568361665349,0.0,20200.0,0.1381608966185033,0.010928582931842,0.0156361166339499,1185903.4,1345331.0,47.77812195586863,HMM,KOSPI,조선/해양·해운,0.0,0.0,0.010928582931842,0.8861386138613861,0.8712871287128713,88.16831683168317,64.82978576874164,5.172519997105876,54.80518863154345,48.91729269986352,60.0,0.8263743296967933,1.05,38.805356703807966,38.805356703807966,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,017670,0.203581616353788,-0.0917157164329503,0.2618947290392703,-0.1119131168580824,0.1164065656605513,0.0340978316336458,20.358161635378803,0.0,53300.0,-0.0459727569268876,0.0065323201733947,0.0079713404122703,514197.4,509639.0,47.54748954302955,SK텔레콤,KOSPI,통신,0.0,0.0,0.0065323201733947,0.8613861386138614,0.8316831683168316,85.24752475247524,61.67169739469717,9.171394545247963,50.097180407077985,48.866500908335006,60.0,0.8370020282150948,1.05,38.570767974932686,38.570767974932686,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,016360,0.2550706825141542,-0.1457225960745101,0.448970400114177,-0.145066530649257,0.3628464781068596,0.2115573594602295,25.507068251415426,0.0,75900.0,-0.4501582378750659,0.0147197585901994,0.0248563523000078,371511.3,572043.0,40.064144734478994,삼성증권,KOSPI,금융,0.0,0.0,0.0147197585901994,0.9108910891089109,0.9108910891089109,91.0891089108911,66.75666744189871,31.745974251287056,39.762792684496546,47.21845636518939,60.0,0.7475462519976446,1.05,38.15360902757788,38.15360902757788,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,036930,0.5941564738395326,-0.1806522048766657,0.9544801741096768,-0.231209218538057,0.223880671390269,0.425252225430333,59.415647383953264,0.0,30450.0,0.0616869362717722,0.0291487608983522,0.0287892409369751,251386.35,1035659.0,62.286364952233285,주성엔지니어링,KOSDAQ,반도체,0.0,0.0,0.0291487608983522,0.995049504950495,0.995049504950495,99.5049504950495,87.21273388252504,28.429213760228816,52.849869615505455,52.11241885167057,60.0,0.6308315452270146,1.05,37.726093131746886,37.726093131746886,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,024110,0.2534998166380477,-0.0840009684156288,0.5087424506549578,-0.1107532617897036,0.0643913056132492,0.103904353782136,25.349981663804776,0.0,20750.0,-0.8442274990631226,0.0108567529212477,0.0126394572901656,883062.55,1158048.0,49.03947265948658,기업은행,KOSPI,금융,0.0,0.0,0.0108567529212477,0.905940594059406,0.9306930693069307,91.33663366336634,70.8056298748081,7.6245220063915236,29.687060807351916,49.195077861081174,60.0,0.8374668638369827,1.05,36.960675788270336,36.960675788270336,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,096530,0.2819381089107962,-0.1520841725535656,0.766520382968418,-0.1821635178643289,0.1185635802626384,0.1008214215034409,28.193810891079615,0.0,24450.0,0.0624497396786243,0.012806817137286,0.0180194461985906,132554.35,151427.0,45.930113373693146,씨젠,KOSDAQ,바이오/제약,0.0,0.0,0.012806817137286,0.9158415841584159,0.9752475247524752,93.36633663366337,74.54555753345002,11.324093263487914,52.86937330016038,48.51030885273936,60.0,0.7205492075291107,1.05,36.71243385013547,36.71243385013547,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
2026-01-02,326030,0.135358054225839,-0.1280109493399971,0.2737190039510142,-0.1101862269832328,0.0920004067786692,0.1250309796067137,13.535805422583902,0.0,122900.0,0.1211674306848622,0.010265679002616,0.0228851240902122,171061.55,178462.0,35.43473778941275,SK바이오팜,KOSPI,바이오/제약,0.0,0.0,0.010265679002616,0.7673267326732673,0.8415841584158416,78.96039603960395,58.57547455123274,10.190957862708256,54.37069240645207,46.198929796655584,60.0,0.7957809655152315,1.05,36.49504851524361,36.49504851524361,True,2026-01-02,4309.63,4112.157,0.0122916303524332,2789410410939.0,2026-01-02 17:33:39,
