kospi_close,kospi_ma20,volatility_5d,foreign_net_5d,market_up,date
3610.6,,,,False,2025-10-10
3584.55,,,,False,2025-10-13
3561.81,,,795219930687.0,False,2025-10-14
3657.28,,0.019394140987530867,958346890838.0,False,2025-10-15
3748.37,3632.522,0.018860814123574186,1611631869495.0,True,2025-10-16
3748.89,3651.9166666666665,0.016866136007206548,996265955937.0,True,2025-10-17
3814.69,3675.1699999999996,0.014932112332599149,1568345787573.0,True,2025-10-20
3823.84,3693.75375,0.012465787328528509,997878641043.0,True,2025-10-21
3883.68,3714.8566666666666,0.01052984175136874,131475448224.0,True,2025-10-22
3845.56,3727.9269999999997,0.01140921022208504,-928953894368.0,False,2025-10-23
3941.59,3747.350909090909,0.013814960086989915,-797168261603.0,False,2025-10-24
4042.83,3771.974166666667,0.01530289368787684,99876220626.0,True,2025-10-27
4010.41,3790.3153846153846,0.017456792185344443,-1525673130841.0,False,2025-10-28
4081.15,3811.089285714286,0.017648127314667954,-929006383795.0,False,2025-10-29
4086.89,3829.476,0.014998053203374183,-639125116667.0,False,2025-10-30
4107.5,3846.8525,0.013359356106847728,106468669087.0,True,2025-10-31
4221.87,3868.9123529411763,0.01407544144028889,-1335505900576.0,False,2025-11-03
4121.74,3882.9583333333335,0.01947508415675724,-1925802807851.0,False,2025-11-04
4004.42,3889.351052631579,0.0229749673245111,-3888722080946.0,False,2025-11-05
4026.45,3896.2059999999997,0.023268159340376186,-5466461494708.0,False,2025-11-06
3953.76,3913.364,0.023622073892873637,-7242641659175.0,False,2025-11-07
4073.24,3937.7985,0.024514468552175005,-6598769253517.0,False,2025-11-10
4106.39,3965.0274999999992,0.023153801731822948,-4293556045466.0,False,2025-11-11
4150.39,3989.6829999999995,0.017202303284625853,-2650541670127.0,False,2025-11-12
4170.63,4010.796,0.01722093132318223,43406857552.0,True,2025-11-13
4011.57,4023.9300000000003,0.025112511381106675,-1859125610249.0,False,2025-11-14
4089.25,4037.6580000000004,0.02252440981518839,-1189244671429.0,False,2025-11-17
3953.62,4044.147,0.026475885312829642,-1816249686852.0,False,2025-11-18
3929.51,4046.4384999999993,0.024623496159957972,-2439256982175.0,False,2025-11-19
4004.85,4054.403,0.027532799107630943,-2697638198539.0,False,2025-11-20
3853.26,4049.9865,0.027453987355526045,-3162997248554.0,False,2025-11-21
3846.06,4040.1479999999997,0.023588053169519518,-4481111333885.0,False,2025-11-24
3857.78,4032.5164999999993,0.020850260560269382,-3926191774284.0,False,2025-11-25
3960.87,4026.5025,0.025050986392787265,-2360912998862.0,False,2025-11-26
3986.91,4021.5035000000003,0.02345507469911958,-2946915841635.0,False,2025-11-27
3926.59,4012.458,0.01519987595254846,-2160887338785.0,False,2025-11-28
3920.37,3997.3830000000003,0.015173538949169063,-1138135405114.0,False,2025-12-01
3994.93,3991.0425000000005,0.016560036279640068,71633778502.0,True,2025-12-02
4036.3,3992.6364999999996,0.0129381491187062,-162480066092.0,False,2025-12-03
4028.51,3992.7395000000006,0.013048499998428494,-1013056124408.0,False,2025-12-04
4100.05,4000.054,0.010124547815587678,2017195534409.0,True,2025-12-05
4154.85,4004.1345,0.008375918850638807,2114798371875.0,True,2025-12-08
4143.55,4005.9925000000003,0.009234089537707577,811173357854.0,True,2025-12-09
4135.0,4005.2230000000004,0.009876788567032013,903446641093.0,True,2025-12-10
4110.62,4002.2225,0.010686695325169616,1965090284295.0,True,2025-12-11
4167.16,4010.0019999999995,0.009489290641226179,1013151710031.0,True,2025-12-12
4090.59,4010.0689999999995,0.011471932029618425,-264810952216.0,False,2025-12-15
3999.13,4012.3445,0.014331881834056488,-1206389996657.0,False,2025-12-16
4056.41,4018.6895000000004,0.017304677239143636,-1612503950343.0,False,2025-12-17
3994.51,4018.1724999999997,0.0180892562607487,-2324074152560.0,False,2025-12-18
4020.55,4026.5370000000003,0.0163625072899493,-3122765923233.0,False,2025-12-19
4105.93,4039.5305000000008,0.01889050166341994,-1064198879595.0,False,2025-12-22
4117.32,4052.5075000000006,0.013820535810678389,921418545912.0,True,2025-12-23
4108.62,4059.8949999999995,0.013265230573680994,1476116892658.0,True,2025-12-24
4129.68,4067.0335,0.008759074071774781,3601105796153.0,True,2025-12-26
4220.56,4081.732,0.011100809074011338,4692016590973.0,True,2025-12-29
4214.17,4096.4220000000005,0.009834805561945194,3113484385521.0,True,2025-12-30
4309.63,4112.157,0.012291630352433247,2789431648459.0,True,2026-01-02
