date,code,roe,op_margin,debt_ratio,ocf_to_assets,net_margin
2020-12-31,000100,,0.0474102217326059,0.2895778398548366,,0.4153502368134
2021-12-31,000100,,0.0144323582412572,0.2867331962854783,0.0241848644985849,
2022-12-31,000100,,-0.0105148175336195,0.247035344038468,0.0294103883980475,
2023-12-31,000100,,0.0018284457798572,0.3127489237937559,0.0336152733296859,
2024-12-31,000100,,0.0794575382510035,0.3454393629403564,0.0003646473393785,
2025-12-31,000100,,0.038619814667543696,0.37722811737847806,0.03227332245683189,
2020-12-31,000150,,0.0517709351256733,3.521272501417815,,-0.0085524105843624
2021-12-31,000150,-0.0002488314331768,0.0684777807463026,2.3840210601319063,-0.0001954271393787,-0.0004777766579651
2022-12-31,000150,0.0086953289917339,0.0776234919699769,1.5246207857640577,0.0150545100375635,0.0190928023539986
2023-12-31,000150,,0.0704470494814023,2.471138864321356,0.0439617476210056,
2024-12-31,000150,,0.0284114114315274,2.502433321906916,-0.0359336246997244,
2025-12-31,000150,,0.05194295615925469,1.6413012345620566,-0.013838236511610105,
2020-12-31,000250,,6.262258231472248e-05,0.2329390936475633,,-0.1900719714638871
2021-12-31,000250,-0.0083615173850883,-0.2091852934096647,0.3658009194627858,-0.03937491579281,-0.0492642876411435
2022-12-31,000250,0.0155719273525656,0.0854684146697244,0.4897999794288508,0.0110822863042994,0.0894979220550234
2023-12-31,000250,-0.0383955548613813,0.0492119336957671,1.424086745332444,0.0039110958305936,-0.2134461241785443
2024-12-31,000250,-0.0007993246897901,-0.0155471049292914,1.3841760195810089,0.0334246857523369,-0.00543812604269
2025-12-31,000250,0.01256763818822779,0.05917557197239753,1.4928870839676682,0.00031794222993785916,0.07688753685872875
2020-12-31,000270,,0.0119614382815897,1.1319943704352615,,
2021-12-31,000270,,0.0747492136716529,0.9091341336518765,0.0995285857583826,
2022-12-31,000270,,0.0331682788720388,0.9259388620877044,0.1232468736967873,
2023-12-31,000270,,0.1121570966693327,0.8004553083895862,0.1397880476252214,
2024-12-31,000270,,0.1086460544292871,1.674566172715585,0.1142776192619707,
2025-12-31,000270,,0.050974311997157365,0.6675430449211788,0.08807238297981478,
2020-12-31,000660,,0.1598884554078127,0.3716527470343556,,
2021-12-31,000660,,0.353384710152809,0.4182037585775739,0.1838700855189011,
2022-12-31,000660,,0.1507400197197766,0.5940151552345084,0.1410235792629414,
2023-12-31,000660,,-0.1976535628988246,0.8476655376020522,0.003074577524779,
2024-12-31,000660,,0.4000415635993917,0.6594875280085364,0.1732515706018336,
2025-12-31,000660,,0.4655987180460952,0.48425710349647144,0.2190277456743196,
2020-12-31,000720,,0.0345940848730841,1.0602710438174563,,0.0207402232736662
2021-12-31,000720,0.0164191465341464,0.050635485534294,1.0316246704323455,0.0333108276986077,0.0340939275928848
2022-12-31,000720,0.0554304391860786,0.0283024148732683,1.0484775709454168,-0.0022660898331654,0.0997684706097247
2023-12-31,000720,,0.0310323940991508,2.186568239868964,-0.0680840975126657,
2024-12-31,000720,,0.013841867643885,2.3221425733244305,-0.028319709387131,
2025-12-31,000720,,0.013229209749632945,2.7093341052916124,-0.08919014627472736,
2023-12-31,000810,,1.020620193014493e-08,5.440877554733485,-0.011192767389200652,
2024-12-31,000810,,0.512654101568799,5.288271098933638,0.0312663117378702,
2025-12-31,000810,,0.47614793936706284,3.8335762112336726,0.019368093798776485,
2020-12-31,000880,,0.0545050981908053,8.694439760478772,,0.0351530827999372
2021-12-31,000880,0.0255171973272433,0.0427206844933305,8.477863667836049,0.0183932968191431,0.0384394707632754
2022-12-31,000880,0.0479041892679867,0.0547087478371776,12.8410246965747,-0.002618074048322,0.0507614559817402
2023-12-31,000880,,0.0320187890868713,5.817307020003234,0.0086004442618182,
2024-12-31,000880,0.0880381744027827,0.0430038214106211,6.110949380833024,0.0115287052260165,0.2252267773250583
2025-12-31,000880,,0.07557401162908045,5.1630990015510205,0.01859853154827939,
2020-12-31,000990,0.0601877424422768,0.2789411071573711,0.480865380456118,0.1851363415034453,0.1954824668918433
2021-12-31,000990,0.1051713490359337,0.3622566311149166,0.3894856649684203,0.1777631341985086,0.2821400388186552
2022-12-31,000990,0.1335217396888322,0.4925491385488458,0.3026731927749824,0.2837228165431497,0.3818401466074129
2023-12-31,000990,0.0321310354357468,0.1877980164299431,1.1793131664219667,0.0599558325802684,0.196047586665373
2024-12-31,000990,0.0389315488569798,0.1634909891099849,1.1916605240456457,0.1182405265677675,0.2466554160908028
2025-12-31,000990,0.04167699279313656,0.2150798815353419,1.31369179459314,0.06637920424993377,0.24219141568014627
2025-12-31,0009K0,-0.05849368491785601,-51.35590800572893,1.035253337307004,-0.023646201667446208,-45.53039013392156
2020-12-31,001040,,0.0521737680241148,1.6581089861665617,,0.0172484765255749
2021-12-31,001040,0.0101235078397048,0.0562041894920189,1.5019066270420651,0.0468285304859116,0.0181161727993789
2022-12-31,001040,0.0139640726651219,0.0587656482969648,1.640591095902915,0.0487240466716346,0.0224934785342492
2023-12-31,001040,,0.060030722205888,1.664120258515687,0.0723327474780471,
2024-12-31,001040,,0.0622257555295767,1.658298729295291,0.0722684051970244,
2025-12-31,001040,,0.0582460929400115,1.7555586586469567,0.068623733927559,
2020-12-31,001440,,0.017141489592712,2.616460461733245,-0.030931289716148,
2021-12-31,001440,,0.0317248483326575,2.578897380925973,-0.0543653616849608,
2022-12-31,001440,,0.0048433403796382,1.0426834324440202,-0.0715553436278379,
2023-12-31,001440,,0.0276330518065058,0.8945196435593377,-0.0318379384575776,
