run_id,as_of_date,code,model_version,horizon_days,rank,final_score,ret_score,prob_score,qual_score,tech_score,risk_penalty,in_top_n,top_n
4,2024-01-02,105560,v1,60,22,30.789559950211654,54.265398222200744,40.45735848853978,,,0.8140971387673622,False,20
4,2024-01-02,005830,v1,60,28,29.287510087634242,53.53812256034956,34.479217754824646,,,0.8127505657187712,False,20
4,2024-01-02,016360,v1,60,50,25.41271235562224,49.73831653105563,15.769924617698994,,,0.8516950224425832,False,20
4,2024-01-02,237690,v1,60,17,32.54069810179124,54.84711871000551,52.04391157017027,,,0.7946480309151671,True,20
4,2024-01-02,214450,v1,60,43,26.221530732252162,53.38614952113834,32.80519473875836,,,0.7374763426100899,False,20
4,2024-01-02,036830,v1,60,125,20.39034022192202,53.36917632499613,25.45154262698584,,,0.6048651380584329,False,20
4,2024-01-02,000880,v1,60,51,25.35239144396395,51.767619685817344,12.708361023750692,,,0.8483561190037727,False,20
4,2024-01-02,329180,v1,60,38,27.419815909957233,51.92603170443684,26.343104350191492,,,0.8220308411006173,False,20
4,2024-01-02,082270,v1,60,109,21.253907028653774,45.911206254834475,13.204839498087138,,,0.768240560888386,False,20
4,2024-01-02,112040,v1,60,175,15.747070013651207,41.58229955166489,5.497841852829551,,,0.6559262121668936,False,20
4,2024-01-02,088980,v1,60,71,23.320683950895308,45.836141544226955,1.5127244659121595,,,0.9436744147570724,False,20
4,2024-01-02,090430,v1,60,96,21.788014984056048,48.19989046885617,16.671094681144666,,,0.7398877634794567,False,20
4,2024-01-02,140860,v1,60,130,19.92488211235286,46.01870624200336,11.551151565021387,,,0.729975626878977,False,20
4,2024-01-02,006260,v1,60,39,27.328841166192262,56.83873222808596,31.219049623257277,,,0.7479105152393275,False,20
4,2024-01-02,358570,v1,60,123,20.569751631017375,47.404714812335264,25.828568080275318,,,0.6546908983633566,False,20
4,2024-01-02,003380,v1,60,158,17.924536948078064,40.0594057941203,10.218902050496093,,,0.7292774507470419,False,20
4,2024-01-02,240810,v1,60,80,22.782876946452607,48.43308217518406,11.78341187576472,,,0.8045060873774732,False,20
4,2024-01-02,316140,v1,60,77,22.972455267402076,49.992453089499534,1.0604069914454177,,,0.8747385072880274,False,20
4,2024-01-02,241560,v1,60,114,21.17601216944119,46.43998687076023,9.971489202162696,,,0.7823013845104732,False,20
4,2024-01-02,011200,v1,60,154,18.189014178542553,42.748345862658994,17.49833189158686,,,0.6620465265237544,False,20
4,2024-01-02,017670,v1,60,57,24.615546641472157,48.70665145367951,3.6935286787854316,,,0.9321936979891924,False,20
