date,portfolio_return,turnover,cum_return
2024-01-04,0.009817898230036854,0.5000000000000001,0.009817898230036759
2024-01-05,-0.06365496065154562,0.8500000000000004,-0.054462020347022744
2024-01-08,0.09305511246500944,1.0000000000000004,0.03352512268952279
2024-01-11,0.05412476885092129,0.9500000000000005,0.0894644310567132
2024-01-12,0.11119335680918514,0.9000000000000005,0.21060563827011825
2024-01-15,0.10418693912965042,0.9000000000000005,0.3367349342145787
2024-01-18,0.19960946784633976,0.9000000000000005,0.6035598830847628
2024-01-19,0.12561406547992948,0.9500000000000005,0.8049895592395604
2024-01-22,0.26450265913561033,0.8500000000000004,1.2824140973704372
2024-01-25,0.09850297193860175,0.9500000000000005,1.5072386691559863
2024-01-26,0.09985979888088299,0.7500000000000003,1.7576110184042757
2024-01-29,0.19474256995030836,1.0000000000000004,2.2946352750516117
