date,model_version,portfolio_return,turnover,num_holdings,cum_return
2023-01-02,v1,0.25812194022910334,0.5,20,0.2581219402291033
2023-01-03,v1,0.2283711634066239,0.1,20,0.5454407114266224
2023-01-04,v1,0.20398219084371655,0.05,20,0.8606830935624967
2023-01-09,v1,0.21175456798984774,0.1,20,1.2546912382058366
2023-01-10,v1,0.2176845707518328,0.1,20,1.745502732572593
2023-01-11,v1,0.1816584403647293,0.05,20,2.2442464769888324
2023-01-16,v1,0.11890658303342043,0.2,20,2.6300087400857866
2023-01-17,v1,0.1762088209481897,0.1,20,3.269648300207927
2023-01-18,v1,0.18629067139246505,0.1,20,4.065043948663359
2023-01-25,v1,0.16206403557354176,0.25,20,4.88590541134109
2023-01-31,v1,0.17579603182640474,0.15000000000000002,20,5.920624226360416
2023-02-01,v1,0.15767161383649883,0.05,20,7.011810216886634
2023-02-06,v1,0.1573189202389042,0.05,20,8.27221954936626
2023-02-07,v1,0.14036555427126224,0.2,20,9.57371978573789
2023-02-08,v1,0.0771547777000955,0.05,20,10.3895327852696
2023-02-13,v1,0.07603122992930074,0.05,20,11.25549297125374
2023-02-14,v1,0.1209060906143066,0.1,20,12.737256714959145
2023-02-15,v1,0.17993441164325472,0.0,20,15.209061919557666
2023-02-20,v1,0.1674414137688423,0.2,20,17.923130163235104
2023-02-21,v1,0.1564738450741515,0.15000000000000002,20,20.884105100715153
2023-02-22,v1,0.18367872480349234,0.1,20,24.903749619080116
2023-02-27,v1,0.1829719980049987,0.15000000000000002,20,29.64341044270443
2023-02-28,v1,0.17875695438229025,0.0,20,35.12113316532874
2023-03-06,v1,0.17597642163817628,0.15000000000000002,20,41.47760092527935
2023-03-07,v1,0.15679058751786862,0.05,20,48.137688930703455
2023-03-08,v1,0.18494841477186338,0.05,20,57.22562660399
2023-03-13,v1,0.29742442217933523,0.15000000000000002,20,74.54334995271145
2023-03-14,v1,0.339444594785497,0.15000000000000002,20,100.18613176614858
2023-03-15,v1,0.3203223480935806,0.05,20,132.59831108798772
